     Conf.      atom         Ref. Fx(Ha/Bohr)         Ref. Fy(Ha/Bohr)         Ref. Fz(Ha/Bohr)           NN Fx(Ha/Bohr)           NN Fy(Ha/Bohr)           NN Fz(Ha/Bohr)
         1         1               0.00000000              -0.00102027               0.00364622               0.00000000              -0.00088659               0.00356330
         1         2               0.00000000               0.00309027              -0.00353810               0.00000000               0.00304121              -0.00327358
         1         3               0.00000000              -0.00207000              -0.00010811               0.00000000              -0.00215462              -0.00028973
         2         1               0.00000000              -0.00303897               0.01249169               0.00000000              -0.00534897               0.01468556
         2         2               0.00000000              -0.00346057              -0.00472532               0.00000000              -0.00330296              -0.00744979
         2         3               0.00000000               0.00649954              -0.00776636               0.00000000               0.00865193              -0.00723577
         3         1               0.00000000               0.00403447              -0.00007847               0.00000000               0.00403765              -0.00023600
         3         2               0.00000000               0.00808253               0.00400266               0.00000000               0.00796002               0.00406474
         3         3               0.00000000              -0.01211700              -0.00392420               0.00000000              -0.01199767              -0.00382874
         4         1               0.00000000              -0.00156253               0.00271761               0.00000000              -0.00138257               0.00240043
         4         2               0.00000000               0.00120054              -0.00207613               0.00000000               0.00142898              -0.00247761
         4         3               0.00000000               0.00036199              -0.00064148               0.00000000              -0.00004641               0.00007718
         5         1               0.00000000              -0.00365898               0.00743881               0.00000000              -0.00476161               0.00739519
         5         2               0.00000000               0.00407558              -0.00606787               0.00000000               0.00378155              -0.00714836
         5         3               0.00000000              -0.00041660              -0.00137094               0.00000000               0.00098006              -0.00024683
         6         1               0.00000000               0.00770300               0.01132780               0.00000000               0.00763936               0.01128342
         6         2               0.00000000              -0.00325495               0.00104985               0.00000000              -0.00328841               0.00102078
         6         3               0.00000000              -0.00444805              -0.01237766               0.00000000              -0.00435095              -0.01230420
         7         1               0.00000000              -0.00708084               0.04949588               0.00000000              -0.00675897               0.04802028
         7         2               0.00000000               0.01174251              -0.02179857               0.00000000               0.01076713              -0.02091040
         7         3               0.00000000              -0.00466167              -0.02769730               0.00000000              -0.00400816              -0.02710988
         8         1               0.00000000              -0.00188527               0.00483894               0.00000000              -0.00159105               0.00627413
         8         2               0.00000000               0.00414696               0.00473228               0.00000000               0.00542835               0.00384262
         8         3               0.00000000              -0.00226169              -0.00957122               0.00000000              -0.00383730              -0.01011675
         9         1               0.00000000               0.00097741               0.00250112               0.00000000               0.00122483               0.00257958
         9         2               0.00000000               0.00276786              -0.00078331               0.00000000               0.00289907              -0.00028271
         9         3               0.00000000              -0.00374527              -0.00171781               0.00000000              -0.00412389              -0.00229687
        10         1               0.00000000              -0.00156410               0.02135857               0.00000000              -0.00155717               0.02120612
        10         2               0.00000000               0.01308880              -0.00995242               0.00000000               0.01288037              -0.00989288
        10         3               0.00000000              -0.01152470              -0.01140615               0.00000000              -0.01132320              -0.01131324
        11         1               0.00000000              -0.00376063               0.00686680               0.00000000              -0.00530212               0.00767516
        11         2               0.00000000               0.00212971              -0.00555671               0.00000000               0.00201834              -0.00722469
        11         3               0.00000000               0.00163092              -0.00131009               0.00000000               0.00328378              -0.00045047
        12         1               0.00000000              -0.02785619               0.03730059               0.00000000              -0.02823086               0.03731327
        12         2               0.00000000               0.02318699              -0.04262008               0.00000000               0.02319146              -0.04298608
        12         3               0.00000000               0.00466920               0.00531949               0.00000000               0.00503939               0.00567281
        13         1               0.00000000              -0.00384458               0.00087529               0.00000000              -0.00374424               0.00072306
        13         2               0.00000000              -0.00063099              -0.00390683               0.00000000              -0.00072910              -0.00375782
        13         3               0.00000000               0.00447557               0.00303154               0.00000000               0.00447334               0.00303476
        14         1               0.00000000              -0.00260948              -0.00033320               0.00000000              -0.00224136              -0.00042460
        14         2               0.00000000               0.00015125              -0.00369146               0.00000000               0.00001383              -0.00310962
        14         3               0.00000000               0.00245823               0.00402466               0.00000000               0.00222753               0.00353421
        15         1               0.00000000               0.00752347               0.00468803               0.00000000               0.00751931               0.00447870
        15         2               0.00000000              -0.00672777               0.00426405               0.00000000              -0.00694982               0.00436482
        15         3               0.00000000              -0.00079571              -0.00895209               0.00000000              -0.00056950              -0.00884352
        16         1               0.00000000               0.00244637               0.00098832               0.00000000               0.00228795               0.00182002
        16         2               0.00000000               0.00202560               0.00163135               0.00000000               0.00262988               0.00144458
        16         3               0.00000000              -0.00447197              -0.00261967               0.00000000              -0.00491783              -0.00326460
        17         1               0.00000000              -0.00272379               0.00220221               0.00000000              -0.00288424               0.00265800
        17         2               0.00000000               0.00160300              -0.00435203               0.00000000               0.00163283              -0.00444358
        17         3               0.00000000               0.00112080               0.00214981               0.00000000               0.00125141               0.00178558
        18         1               0.00000000               0.00052122              -0.00025955               0.00000000               0.00040483              -0.00064830
        18         2               0.00000000              -0.00002963               0.00062216               0.00000000              -0.00045361               0.00072628
        18         3               0.00000000              -0.00049159              -0.00036261               0.00000000               0.00004878              -0.00007799
        19         1               0.00000000              -0.00054752              -0.01298360               0.00000000              -0.00058475              -0.01327935
        19         2               0.00000000              -0.01054146               0.00700465               0.00000000              -0.01079380               0.00714353
        19         3               0.00000000               0.01108898               0.00597895               0.00000000               0.01137855               0.00613582
        20         1               0.00000000              -0.00022653               0.00031716               0.00000000              -0.00016057               0.00016364
        20         2               0.00000000               0.00021650              -0.00039126               0.00000000               0.00011860              -0.00028234
        20         3               0.00000000               0.00001003               0.00007409               0.00000000               0.00004197               0.00011870
        21         1               0.00000000               0.00234934               0.01160100               0.00000000               0.00235763               0.01133874
        21         2               0.00000000               0.01424036              -0.00415932               0.00000000               0.01407441              -0.00401572
        21         3               0.00000000              -0.01658970              -0.00744168               0.00000000              -0.01643204              -0.00732301
        22         1               0.00000000               0.00104627               0.00169799               0.00000000               0.00155182               0.00146087
        22         2               0.00000000               0.00289750              -0.00313882               0.00000000               0.00288633              -0.00241300
        22         3               0.00000000              -0.00394377               0.00144083               0.00000000              -0.00443815               0.00095213
        23         1               0.00000000              -0.00274489              -0.00877031               0.00000000              -0.00272434              -0.00910695
        23         2               0.00000000              -0.00891010               0.00079599               0.00000000              -0.00920869               0.00094454
        23         3               0.00000000               0.01165499               0.00797431               0.00000000               0.01193303               0.00816242
        24         1               0.00000000              -0.00833212               0.01582797               0.00000000              -0.00725426               0.01474931
        24         2               0.00000000               0.01286711              -0.00418241               0.00000000               0.01221270              -0.00333106
        24         3               0.00000000              -0.00453499              -0.01164555               0.00000000              -0.00495844              -0.01141825
        25         1               0.00000000               0.00070854               0.00355105               0.00000000               0.00066091               0.00332256
        25         2               0.00000000               0.00261470              -0.00120627               0.00000000               0.00243901              -0.00113030
        25         3               0.00000000              -0.00332324              -0.00234478               0.00000000              -0.00309992              -0.00219226
        26         1               0.00000000              -0.00549993              -0.00019505               0.00000000              -0.00723978               0.00095929
        26         2               0.00000000              -0.00219641              -0.00497660               0.00000000              -0.00194060              -0.00704737
        26         3               0.00000000               0.00769635               0.00517166               0.00000000               0.00918038               0.00608808
        27         1               0.00000000              -0.00447620              -0.00480103               0.00000000              -0.00459082              -0.00488729
        27         2               0.00000000               0.00701248              -0.00118549               0.00000000               0.00694723              -0.00127332
        27         3               0.00000000              -0.00253628               0.00598652               0.00000000              -0.00235640               0.00616061
        28         1               0.00000000              -0.00370274               0.00563080               0.00000000              -0.00513719               0.00577391
        28         2               0.00000000               0.01098974              -0.00920709               0.00000000               0.01087585              -0.01076671
        28         3               0.00000000              -0.00728700               0.00357629               0.00000000              -0.00573866               0.00499280
        29         1               0.00000000              -0.00369187               0.00127757               0.00000000              -0.00539773               0.00241906
        29         2               0.00000000              -0.01010349              -0.00021242               0.00000000              -0.00988154              -0.00210097
        29         3               0.00000000               0.01379536              -0.00106515               0.00000000               0.01527928              -0.00031809
        30         1               0.00000000              -0.00557383              -0.00056951               0.00000000              -0.00554957              -0.00076094
        30         2               0.00000000               0.00372974              -0.00472673               0.00000000               0.00362845              -0.00459124
        30         3               0.00000000               0.00184409               0.00529623               0.00000000               0.00192112               0.00535218
        31         1               0.00000000              -0.01143734               0.00760292               0.00000000              -0.01186290               0.00685106
        31         2               0.00000000              -0.00015434              -0.01334763               0.00000000              -0.00111133              -0.01331702
        31         3               0.00000000               0.01159167               0.00574471               0.00000000               0.01297423               0.00646596
        32         1               0.00000000              -0.00453848              -0.00325384               0.00000000              -0.00623394              -0.00238538
        32         2               0.00000000               0.00020487              -0.00441306               0.00000000               0.00001043              -0.00630859
        32         3               0.00000000               0.00433361               0.00766690               0.00000000               0.00622351               0.00869397
        33         1               0.00000000              -0.00003520               0.03002941               0.00000000               0.00006662               0.02990165
        33         2               0.00000000               0.02370700              -0.01151122               0.00000000               0.02348722              -0.01137938
