Conf.,atoms,Ref. total energy(Ha),NN total energy(Ha),E(Ref.) - E(NN) (Ha/atom)
1,3,-16138.88406,-16138.884,-0.00001911
2,3,-16138.58783,-16138.58783,0.00000097
3,3,-16138.87941,-16138.87951,0.00003333
4,3,-16138.58718,-16138.58718,0.00000073
5,3,-16138.88346,-16138.88355,0.0000302
6,3,-16138.88349,-16138.88355,0.00001975
7,3,-16138.58275,-16138.5827,-0.00001708
8,3,-16138.58064,-16138.5806,-0.00001313
9,3,-16138.58364,-16138.58364,-0.0000007
10,3,-16138.88211,-16138.88223,0.00003727
11,3,-16138.85843,-16138.8586,0.00005853
12,3,-16138.5846,-16138.5846,-0.00000052
13,3,-16138.58587,-16138.58588,0.00000284
14,3,-16138.85815,-16138.8583,0.00005015
15,3,-16138.5879,-16138.5879,0.00000064
16,3,-16138.88401,-16138.88395,-0.00001866
17,3,-16138.84222,-16138.84209,-0.00004413
18,3,-16138.87299,-16138.87283,-0.00005377
19,3,-16138.58708,-16138.58708,-0.00000266
20,3,-16138.88322,-16138.88333,0.00003606
21,3,-16138.884,-16138.88395,-0.0000186
22,3,-16138.86263,-16138.8626,-0.00001056
23,3,-16138.58458,-16138.58456,-0.00000481
24,3,-16138.88151,-16138.8814,-0.00003612
25,3,-16138.58119,-16138.58118,-0.00000203
26,3,-16138.58309,-16138.58309,0.00000027
27,3,-16138.88401,-16138.88395,-0.00001869
28,3,-16138.8782,-16138.87836,0.00005502
29,3,-16138.58481,-16138.5848,-0.00000502
30,3,-16138.58636,-16138.58638,0.0000039
31,3,-16138.87974,-16138.87979,0.00001598
32,3,-16138.58821,-16138.58819,-0.00000643
33,3,-16138.84002,-16138.83988,-0.00004872
34,3,-16138.88401,-16138.88395,-0.00001866
35,3,-16138.86543,-16138.86536,-0.00002475
36,3,-16138.88357,-16138.88364,0.00002407
37,3,-16138.884,-16138.88395,-0.00001856
38,3,-16138.58708,-16138.58709,0.00000278
39,3,-16138.58016,-16138.58021,0.00001697
40,3,-16138.58047,-16138.58045,-0.00000641
41,3,-16138.884,-16138.88395,-0.0000186
42,3,-16138.884,-16138.88395,-0.00001863
43,3,-16138.884,-16138.88395,-0.0000186
44,3,-16138.88284,-16138.88273,-0.00003587
45,3,-16138.57765,-16138.57765,0.00000156
46,3,-16138.58414,-16138.58414,0.00000219
47,3,-16138.5887,-16138.58869,-0.00000304
48,3,-16138.884,-16138.88395,-0.00001861
49,3,-16138.88057,-16138.88056,-0.00000276
50,3,-16138.58129,-16138.58126,-0.00000877
51,3,-16138.88124,-16138.88123,-0.00000267
52,3,-16138.5852,-16138.58522,0.00000575
53,3,-16138.58554,-16138.58555,0.00000246
54,3,-16138.58109,-16138.58106,-0.00000925
55,3,-16138.87672,-16138.87671,-0.0000046
56,3,-16138.56361,-16138.56359,-0.00000581
57,3,-16138.87033,-16138.87025,-0.00002753
58,3,-16138.58057,-16138.58057,0.00000244
59,3,-16138.87115,-16138.87112,-0.00001037
60,3,-16138.58558,-16138.58559,0.00000302
61,3,-16138.57573,-16138.57573,0.00000254
62,3,-16138.58283,-16138.58282,-0.00000575
63,3,-16138.88401,-16138.88395,-0.00001866
64,3,-16138.87204,-16138.87208,0.00001089
65,3,-16138.87669,-16138.87665,-0.00001296
66,3,-16138.58342,-16138.58341,-0.00000109
67,3,-16138.58001,-16138.58,-0.00000419
68,3,-16138.85427,-16138.8544,0.00004366
69,3,-16138.8641,-16138.86408,-0.00000802
70,3,-16138.58825,-16138.58825,-0.00000038
71,3,-16138.84486,-16138.84499,0.00004403
72,3,-16138.58483,-16138.58482,-0.00000524
73,3,-16138.85831,-16138.85844,0.00004488
74,3,-16138.87051,-16138.8705,-0.00000343
75,3,-16138.87517,-16138.8752,0.0000095
