Conf.,atom,Ref. Fx(Ha/Bohr),Ref. Fy(Ha/Bohr),Ref. Fz(Ha/Bohr),NN Fx(Ha/Bohr),NN Fy(Ha/Bohr),NN Fz(Ha/Bohr)
1,1,0,-0.00067327,0.00069722,0,-0.00061791,0.0005821
1,2,0,0.00037633,-0.000979,0,0.00036454,-0.00098068
1,3,0,0.00029694,0.00028179,0,0.00025338,0.00039858
2,1,0,0.00394471,0.00665575,0,0.0038771,0.00643836
2,2,0,0.00671977,0.00032811,0,0.0064309,0.00037252
2,3,0,-0.01066447,-0.00698387,0,-0.01030799,-0.00681087
3,1,0,0.00013142,0.00297536,0,0.00043783,0.00277516
3,2,0,0.00200855,0.00163592,0,0.0019941,0.00186232
3,3,0,-0.00213997,-0.00461129,0,-0.00243193,-0.00463749
4,1,0,0.00372243,0.00559192,0,0.00367608,0.00533359
4,2,0,0.01022956,0.00125775,0,0.01000867,0.00132009
4,3,0,-0.01395199,-0.00684967,0,-0.01368475,-0.00665368
5,1,0,0.00097388,-0.00340105,0,0.00115704,-0.00378085
5,2,0,-0.00146966,0.00092698,0,-0.0016197,0.00112673
5,3,0,0.00049578,0.00247407,0,0.00046266,0.00265412
6,1,0,0.0029819,-0.00425011,0,0.00330457,-0.00535078
6,2,0,0.00049046,-0.00011189,0,0.00007795,-0.0000083
6,3,0,-0.00347235,0.004362,0,-0.00338253,0.00535908
7,1,0,-0.00321546,0.02570254,0,-0.0032216,0.02553027
7,2,0,0.00539689,-0.01342435,0,0.00530829,-0.01335892
7,3,0,-0.00218142,-0.01227819,0,-0.00208668,-0.01217135
8,1,0,-0.00266875,-0.00951882,0,-0.00263251,-0.00978282
8,2,0,-0.00933237,0.00113643,0,-0.00969759,0.00125232
8,3,0,0.01200112,0.00838239,0,0.0123301,0.0085305
9,1,0,0.00935931,0.02650346,0,0.00923667,0.02642033
9,2,0,0.00090278,-0.00436161,0,0.0008571,-0.00441954
9,3,0,-0.01026208,-0.02214185,0,-0.01009377,-0.02200079
10,1,0,0.0035421,-0.00175091,0,0.00366083,-0.00186889
10,2,0,0.00088737,0.0020626,0,0.00089007,0.00208997
10,3,0,-0.00442946,-0.00031169,0,-0.0045509,-0.00022109
11,1,0,-0.00595978,-0.00159569,0,-0.00797693,-0.00024979
11,2,0,-0.00304049,-0.00496269,0,-0.00263493,-0.00740478
11,3,0,0.00900027,0.00655838,0,0.01061186,0.00765457
12,1,0,0.0021633,0.01997777,0,0.00221303,0.01977663
12,2,0,0.01784016,-0.00973664,0,0.01765863,-0.00957786
12,3,0,-0.02000345,-0.01024112,0,-0.01987166,-0.01019877
13,1,0,-0.00754793,0.0021142,0,-0.00753654,0.00192777
13,2,0,-0.00096402,-0.00776333,0,-0.00126267,-0.00767969
13,3,0,0.00851195,0.00564913,0,0.00879921,0.00575192
14,1,0,-0.00603303,0.01804799,0,-0.00554944,0.01678629
14,2,0,0.00290711,-0.01087985,0,0.00233095,-0.00994876
14,3,0,0.00312592,-0.00716813,0,0.00321849,-0.00683753
15,1,0,0.00429351,0.0070304,0,0.00422696,0.00683087
15,2,0,0.00545145,0.00044338,0,0.00516597,0.00048138
15,3,0,-0.00974496,-0.00747378,0,-0.00939293,-0.00731225
16,1,0,-0.00155755,0.00270916,0,-0.00137816,0.00239278
16,2,0,0.00119572,-0.00206732,0,0.0014246,-0.00246978
16,3,0,0.00036183,-0.00064185,0,-0.00004644,0.00007699
17,1,0,-0.01083077,0.01734428,0,-0.00995406,0.01666529
17,2,0,0.00444899,-0.03820955,0,0.00392908,-0.03802454
17,3,0,0.00638178,0.02086527,0,0.00602498,0.02135924
18,1,0,-0.00423121,0.0071221,0,-0.00390495,0.00777188
18,2,0,0.00444698,-0.01344198,0,0.00520858,-0.01393617
18,3,0,-0.00021577,0.00631988,0,-0.00130363,0.00616429
19,1,0,0.00741418,0.01090971,0,0.00735106,0.01086601
19,2,0,-0.00276123,0.0010553,0,-0.00276853,0.00102504
19,3,0,-0.00465294,-0.01196501,0,-0.00458253,-0.01189105
20,1,0,0.00070853,-0.00405654,0,0.00114639,-0.00431433
20,2,0,-0.00179515,0.00053671,0,-0.00168823,0.00087801
20,3,0,0.00108662,0.00351983,0,0.00054185,0.00343632
21,1,0,-0.00136983,0.00239111,0,-0.00130417,0.00226409
21,2,0,0.00138415,-0.0023869,0,0.00149909,-0.00259953
21,3,0,-0.00001432,-0.00000421,0,-0.00019491,0.00033544
22,1,0,-0.00481194,-0.00290116,0,-0.00647193,-0.00202025
22,2,0,-0.00020869,-0.00456517,0,-0.00031406,-0.00644675
22,3,0,0.00502063,0.00746633,0,0.00678599,0.00846701
23,1,0,0.00678348,-0.00047334,0,0.00681063,-0.00063763
23,2,0,-0.0103636,0.0063435,0,-0.01050204,0.00645555
23,3,0,0.00358012,-0.00587016,0,0.00369142,-0.00581792
24,1,0,-0.00295747,0.00125451,0,-0.00240172,0.00086149
24,2,0,-0.00028134,-0.00309293,0,-0.00043461,-0.00237947
24,3,0,0.00323881,0.00183842,0,0.00283633,0.00151798
25,1,0,-0.00586255,0.03338205,0,-0.00581955,0.03329538
25,2,0,0.02438229,-0.01817584,0,0.0241321,-0.0181197
25,3,0,-0.01851974,-0.01520621,0,-0.01831255,-0.01517568
26,1,0,0.01107608,0.02850595,0,0.0109591,0.02843795
26,2,0,0.00157011,-0.00357274,0,0.00161371,-0.00363408
26,3,0,-0.01264619,-0.02493322,0,-0.01257281,-0.02480387
27,1,0,-0.00155973,0.002713,0,-0.0013801,0.00239623
27,2,0,0.0011979,-0.00207124,0,0.00142655,-0.00247328
27,3,0,0.00036183,-0.00064176,0,-0.00004645,0.00007705
28,1,0,-0.00222954,-0.00172241,0,-0.00253623,-0.00125329
28,2,0,-0.00320803,-0.0007157,0,-0.00282947,-0.00126541
28,3,0,0.00543756,0.0024381,0,0.0053657,0.0025187
29,1,0,0.00580803,0.02189436,0,0.00571136,0.02180339
29,2,0,0.00041764,-0.00538459,0,0.00024594,-0.00542074
29,3,0,-0.00622568,-0.01650977,0,-0.0059573,-0.01638265
30,1,0,-0.00001972,-0.00568635,0,-0.00003564,-0.00584396
30,2,0,0.01332501,0.00336921,0,0.01315299,0.00341341
