     Conf.     atoms         Ref. total energy(Ha)           NN total energy(Ha)     E(Ref.) - E(NN) (Ha/atom)
         1         3               -16138.88406017               -16138.88400283                   -0.00001911
         2         3               -16138.58783057               -16138.58783349                    0.00000097
         3         3               -16138.87940754               -16138.87950751                    0.00003333
         4         3               -16138.58717963               -16138.58718182                    0.00000073
         5         3               -16138.88345576               -16138.88354634                    0.00003020
         6         3               -16138.88348584               -16138.88354509                    0.00001975
         7         3               -16138.58274652               -16138.58269528                   -0.00001708
         8         3               -16138.58064014               -16138.58060076                   -0.00001313
         9         3               -16138.58364078               -16138.58363868                   -0.00000070
        10         3               -16138.88211473               -16138.88222653                    0.00003727
        11         3               -16138.85842858               -16138.85860416                    0.00005853
        12         3               -16138.58459922               -16138.58459765                   -0.00000052
        13         3               -16138.58587029               -16138.58587881                    0.00000284
        14         3               -16138.85815275               -16138.85830321                    0.00005015
        15         3               -16138.58790012               -16138.58790204                    0.00000064
        16         3               -16138.88400517               -16138.88394920                   -0.00001866
        17         3               -16138.84222383               -16138.84209146                   -0.00004413
        18         3               -16138.87298933               -16138.87282802                   -0.00005377
        19         3               -16138.58708330               -16138.58707532                   -0.00000266
        20         3               -16138.88321859               -16138.88332676                    0.00003606
        21         3               -16138.88400364               -16138.88394785                   -0.00001860
        22         3               -16138.86262726               -16138.86259559                   -0.00001056
        23         3               -16138.58457756               -16138.58456313                   -0.00000481
        24         3               -16138.88151325               -16138.88140488                   -0.00003612
        25         3               -16138.58118912               -16138.58118303                   -0.00000203
        26         3               -16138.58308567               -16138.58308649                    0.00000027
        27         3               -16138.88400503               -16138.88394895                   -0.00001869
        28         3               -16138.87819659               -16138.87836166                    0.00005502
        29         3               -16138.58481127               -16138.58479621                   -0.00000502
        30         3               -16138.58636361               -16138.58637529                    0.00000390
        31         3               -16138.87973944               -16138.87978738                    0.00001598
        32         3               -16138.58821262               -16138.58819334                   -0.00000643
        33         3               -16138.84002472               -16138.83987855                   -0.00004872
        34         3               -16138.88400517               -16138.88394920                   -0.00001866
        35         3               -16138.86543300               -16138.86535876                   -0.00002475
        36         3               -16138.88357190               -16138.88364412                    0.00002407
        37         3               -16138.88400362               -16138.88394793                   -0.00001856
        38         3               -16138.58707772               -16138.58708607                    0.00000278
        39         3               -16138.58015949               -16138.58021040                    0.00001697
        40         3               -16138.58046576               -16138.58044653                   -0.00000641
        41         3               -16138.88400368               -16138.88394789                   -0.00001860
        42         3               -16138.88400352               -16138.88394763                   -0.00001863
        43         3               -16138.88400361               -16138.88394782                   -0.00001860
        44         3               -16138.88283831               -16138.88273071                   -0.00003587
        45         3               -16138.57764641               -16138.57765111                    0.00000156
        46         3               -16138.58413733               -16138.58414390                    0.00000219
        47         3               -16138.58870120               -16138.58869207                   -0.00000304
        48         3               -16138.88400394               -16138.88394810                   -0.00001861
        49         3               -16138.88057324               -16138.88056497                   -0.00000276
        50         3               -16138.58128784               -16138.58126151                   -0.00000877
        51         3               -16138.88124104               -16138.88123304                   -0.00000267
        52         3               -16138.58520113               -16138.58521838                    0.00000575
        53         3               -16138.58554313               -16138.58555050                    0.00000246
        54         3               -16138.58109173               -16138.58106398                   -0.00000925
        55         3               -16138.87672323               -16138.87670942                   -0.00000460
        56         3               -16138.56361178               -16138.56359434                   -0.00000581
        57         3               -16138.87032995               -16138.87024735                   -0.00002753
        58         3               -16138.58056644               -16138.58057376                    0.00000244
        59         3               -16138.87115354               -16138.87112243                   -0.00001037
        60         3               -16138.58558063               -16138.58558969                    0.00000302
        61         3               -16138.57572557               -16138.57573318                    0.00000254
        62         3               -16138.58283298               -16138.58281573                   -0.00000575
        63         3               -16138.88400519               -16138.88394922                   -0.00001866
        64         3               -16138.87204261               -16138.87207527                    0.00001089
        65         3               -16138.87669274               -16138.87665387                   -0.00001296
        66         3               -16138.58341512               -16138.58341185                   -0.00000109
        67         3               -16138.58001171               -16138.57999912                   -0.00000419
        68         3               -16138.85426884               -16138.85439983                    0.00004366
        69         3               -16138.86410027               -16138.86407622                   -0.00000802
        70         3               -16138.58825168               -16138.58825054                   -0.00000038
        71         3               -16138.84485827               -16138.84499036                    0.00004403
        72         3               -16138.58483249               -16138.58481676                   -0.00000524
        73         3               -16138.85830693               -16138.85844156                    0.00004488
        74         3               -16138.87051166               -16138.87050138                   -0.00000343
        75         3               -16138.87517202               -16138.87520052                    0.00000950
        76         3               -16138.88355738               -16138.88349871                   -0.00001956
        77         3               -16138.86541545               -16138.86532096                   -0.00003150
        78         3               -16138.87523844               -16138.87528094                    0.00001417
        79         3               -16138.58415664               -16138.58415028                   -0.00000212
        80         3               -16138.58203664               -16138.58199600                   -0.00001355
        81         3               -16138.57834752               -16138.57835167                    0.00000138
        82         3               -16138.58010349               -16138.58014017                    0.00001223
        83         3               -16138.86340428               -16138.86342739                    0.00000771
        84         3               -16138.58216291               -16138.58216035                   -0.00000086
        85         3               -16138.88000233               -16138.88007077                    0.00002281
        86         3               -16138.58226002               -16138.58226212                    0.00000070
        87         3               -16138.58476050               -16138.58474941                   -0.00000370
        88         3               -16138.85784502               -16138.85789328                    0.00001609
        89         3               -16138.58276801               -16138.58273335                   -0.00001155
        90         3               -16138.58696784               -16138.58697755                    0.00000324
        91         3               -16138.58814531               -16138.58813435                   -0.00000365
        92         3               -16138.58593880               -16138.58594306                    0.00000142
        93         3               -16138.87245529               -16138.87240986                   -0.00001514
        94         3               -16138.84631426               -16138.84648519                    0.00005698
        95         3               -16138.58753472               -16138.58753384                   -0.00000030
        96         3               -16138.57908098               -16138.57914447                    0.00002116
        97         3               -16138.87600136               -16138.87604921                    0.00001595
        98         3               -16138.88400395               -16138.88394810                   -0.00001861
        99         3               -16138.88400501               -16138.88394891                   -0.00001870
       100         3               -16138.58587838               -16138.58588247                    0.00000136
       101         3               -16138.58563041               -16138.58565056                    0.00000672
       102         3               -16138.88346320               -16138.88354211                    0.00002630
       103         3               -16138.87353882               -16138.87352964                   -0.00000306
       104         3               -16138.88400379               -16138.88394821                   -0.00001853
       105         3               -16138.58774636               -16138.58773326                   -0.00000436
       106         3               -16138.58088335               -16138.58087281                   -0.00000351
       107         3               -16138.58857961               -16138.58858159                    0.00000066
       108         3               -16138.88400395               -16138.88394811                   -0.00001861
       109         3               -16138.88358637               -16138.88365429                    0.00002264
       110         3               -16138.88324900               -16138.88333927                    0.00003009
       111         3               -16138.88400320               -16138.88394646                   -0.00001891
       112         3               -16138.87280582               -16138.87266260                   -0.00004774
       113         3               -16138.88400368               -16138.88394789                   -0.00001860
       114         3               -16138.58823476               -16138.58821801                   -0.00000558
       115         3               -16138.58544803               -16138.58545706                    0.00000301
       116         3               -16138.87366951               -16138.87359240                   -0.00002570
       117         3               -16138.58740486               -16138.58741941                    0.00000485
       118         3               -16138.87083540               -16138.87072088                   -0.00003817
       119         3               -16138.58891222               -16138.58890703                   -0.00000173
       120         3               -16138.85630411               -16138.85650883                    0.00006824
