Conf.,atom,element,Ref. charge(e),NN charge(e)
1,1,6,-0.00802367,-0.00229375
1,2,6,-0.00855428,-0.00953729
1,3,6,-0.00986191,-0.00992131
1,4,6,-0.01005839,-0.00618254
1,5,6,-0.00672013,0.00012914
1,6,6,-0.00417967,0.00064119
1,7,6,-0.02838256,-0.0288742
1,8,6,-0.03143355,-0.03313925
1,9,6,-0.05399098,-0.06018239
1,10,6,-0.04955674,-0.05604593
1,11,1,0.10498083,0.10181469
1,12,1,0.10578104,0.10359165
2,1,6,-0.00789398,-0.00142751
2,2,6,-0.00789972,-0.00730633
2,3,6,-0.0172721,-0.01476049
2,4,6,-0.01437011,-0.01970782
2,5,6,0.00022338,0.00676493
2,6,6,-0.00055194,0.01730615
2,7,6,-0.02884642,-0.03442352
2,8,6,-0.03197021,-0.03810014
2,9,6,-0.05695101,-0.0627234
2,10,6,-0.04971578,-0.05710834
2,11,1,0.10702695,0.10470778
2,12,1,0.10822094,0.10677868
3,1,6,0.00604499,0.00384896
3,2,6,0.08256598,0.09231984
3,3,6,0.11036843,0.10897262
3,4,6,0.02637044,0.03163861
3,5,6,0.03741726,0.03174871
3,6,6,0.09577103,0.09027747
3,7,6,0.08374458,0.07521675
3,8,6,0.03716305,0.03927439
3,9,6,0.04080334,0.04084205
3,10,6,0.09366821,0.09539708
3,11,1,0.11888717,0.11859627
3,12,1,0.12385267,0.1234725
3,13,1,0.14334288,0.14839473
4,1,6,0.00051713,-0.00142257
4,2,6,0.07873793,0.08350588
4,3,6,0.11286954,0.10812348
4,4,6,0.02075767,0.03303153
4,5,6,0.03347138,0.02618017
4,6,6,0.08760498,0.08743501
4,7,6,0.09200642,0.08682454
4,8,6,0.03805375,0.05018297
4,9,6,0.03823916,0.03639883
4,10,6,0.09258339,0.08358984
4,11,1,0.12120563,0.11953654
4,12,1,0.12793908,0.1268163
4,13,1,0.15601389,0.15979747
5,1,6,0.01241538,0.00984248
5,2,6,0.09087741,0.09784902
5,3,6,0.1212481,0.11888363
5,4,6,0.02346589,0.03596506
5,5,6,0.03359636,0.02216373
5,6,6,0.08764881,0.07243116
5,7,6,0.09103709,0.08769417
5,8,6,0.04260306,0.06549013
5,9,6,0.04143338,0.04898106
5,10,6,0.08698047,0.07087852
5,11,1,0.10712095,0.10484449
