Conf.,atoms,Ref. total energy(Ha),NN total energy(Ha),E(Ref.) - E(NN) (Ha/atom)
1,12,-381.611507,-381.6113462,-0.0000134
2,12,-381.6159959,-381.6160734,0.00000646
3,13,-381.9758885,-381.9762327,0.00002647
4,13,-381.9763144,-381.9758451,-0.0000361
5,13,-381.9684279,-381.9684532,0.00000195
6,13,-381.9742465,-381.974288,0.0000032
7,12,-381.6080947,-381.6081726,0.0000065
8,12,-381.6148272,-381.6140739,-0.00006278
9,12,-381.6099423,-381.6094714,-0.00003925
10,12,-381.6111093,-381.6109027,-0.00001722
11,12,-381.6166948,-381.6162315,-0.00003861
12,13,-381.9772433,-381.9772553,0.00000092
13,12,-381.6104208,-381.6102941,-0.00001056
14,12,-381.6186635,-381.6185576,-0.00000883
15,12,-381.6036162,-381.6028915,-0.00006039
16,12,-381.6174331,-381.6170607,-0.00003103
17,12,-381.6100602,-381.6094825,-0.00004814
18,13,-381.9710118,-381.9703255,-0.00005279
19,12,-381.6097532,-381.610155,0.00003348
20,13,-381.969995,-381.9703658,0.00002853
21,13,-381.9797788,-381.979729,-0.00000384
22,13,-381.9777742,-381.9774817,-0.0000225
23,12,-381.6129018,-381.6130241,0.00001019
24,13,-381.9761079,-381.9766264,0.00003988
25,12,-381.6037041,-381.6045762,0.00007268
26,13,-381.9689441,-381.9701307,0.00009128
27,13,-381.9747787,-381.9743691,-0.00003151
28,12,-381.6114358,-381.6112209,-0.0000179
29,12,-381.6122967,-381.6126172,0.00002671
30,12,-381.6138537,-381.6141087,0.00002125
31,12,-381.6105679,-381.610946,0.0000315
32,12,-381.6014645,-381.6010887,-0.00003131
33,13,-381.9833403,-381.9830721,-0.00002062
34,13,-381.9696198,-381.9685373,-0.00008327
35,13,-381.9803067,-381.9780795,-0.00017132
36,13,-381.9746476,-381.9735318,-0.00008583
37,13,-381.9761613,-381.9770162,0.00006576
38,12,-381.6141995,-381.6145067,0.00002559
39,12,-381.6114034,-381.6112413,-0.00001351
40,13,-381.9765148,-381.9770507,0.00004122
41,12,-381.615057,-381.6147236,-0.00002778
42,12,-381.6055473,-381.6046124,-0.00007791
43,12,-381.6108228,-381.6105832,-0.00001997
44,13,-381.9778051,-381.9774385,-0.0000282
