Conf.,atom,Ref. Fx(Ha/Bohr),Ref. Fy(Ha/Bohr),Ref. Fz(Ha/Bohr),NN Fx(Ha/Bohr),NN Fy(Ha/Bohr),NN Fz(Ha/Bohr)
1,1,0.03665145,-0.00099937,0.01717418,0.03815649,-0.00123485,0.01605402
1,2,-0.02145074,0.00312205,0.00184663,-0.02322343,0.0022758,0.00024015
1,3,-0.02141003,-0.00639082,-0.01715843,-0.01900093,-0.00621658,-0.01580177
1,4,-0.0298374,0.01074539,-0.00458711,-0.03182875,0.0122339,-0.0026588
1,5,0.00183373,-0.00148267,0.01164453,-0.00004843,-0.0010016,0.01190207
1,6,0.03835799,-0.01242988,-0.00384354,0.03922989,-0.01318549,-0.00386254
1,7,0.01129081,0.01693917,-0.01445586,0.01055714,0.01712218,-0.01488517
1,8,-0.03175204,0.0090767,0.01982406,-0.03083353,0.00926857,0.01942234
1,9,-0.02090745,-0.00508822,0.01385493,-0.02180565,-0.00555045,0.0137976
1,10,0.03429549,-0.00728505,-0.01938558,0.03517022,-0.00744117,-0.01885244
1,11,-0.00415961,-0.00624371,-0.00723666,-0.00395969,-0.00620764,-0.00718618
1,12,0.0070878,0.00003641,0.00232286,0.00758667,-0.00006266,0.00183073
2,1,-0.05004067,0.00491945,0.00388777,-0.04775459,0.00474614,0.00376788
2,2,0.06716471,0.00619203,-0.00739937,0.06509057,0.00386422,-0.00819943
2,3,-0.00324467,-0.01820683,0.00223641,-0.00293002,-0.01835085,0.00286124
2,4,0.01175206,0.00091335,0.00548443,0.00980206,0.00322085,0.00709335
2,5,0.03303233,0.00811988,0.00548521,0.03231709,0.00986691,0.0047581
2,6,-0.00912884,-0.00097296,-0.00498521,-0.00788073,-0.00110175,-0.0056115
2,7,-0.04135103,-0.00137137,-0.00656447,-0.04287401,-0.00228843,-0.00641506
2,8,-0.01558686,-0.00474079,0.00206457,-0.01355479,-0.00494773,0.0020752
2,9,0.01270106,0.00748389,-0.00586562,0.01407234,0.00731843,-0.00539707
2,10,-0.01357502,0.00471824,0.00451695,-0.0130185,0.00442155,0.00399047
2,11,-0.0070873,-0.00640649,0.00471623,-0.00789503,-0.00621203,0.00438242
2,12,0.01536423,-0.0006484,-0.0035769,0.01462561,-0.00053732,-0.00330561
3,1,-0.01563098,0.00375429,0.03396155,-0.01695804,0.00385157,0.03486646
3,2,-0.05480434,-0.02753833,-0.01271554,-0.05447367,-0.02697138,-0.01109015
3,3,0.03693907,0.00559105,-0.0059149,0.03832619,0.00618565,-0.00584338
3,4,0.00605778,0.01370303,0.00544505,0.00646742,0.01271675,0.00521758
3,5,-0.0042259,0.00825323,-0.00002199,-0.004199,0.00749367,0.00008685
3,6,0.04671341,0.01347001,0.00713431,0.04539077,0.01419308,0.00636079
3,7,-0.0583485,-0.03460553,0.0042442,-0.05997568,-0.03465412,0.0040761
3,8,-0.00337114,-0.0076889,-0.0090389,-0.00243607,-0.00894593,-0.00739273
3,9,0.05524691,0.02231602,-0.01052499,0.05706691,0.02208408,-0.00946515
3,10,-0.01861735,0.00390414,0.0128724,-0.01811685,0.00613304,0.01058848
3,11,-0.01250967,-0.00753323,-0.01298015,-0.01271282,-0.00793674,-0.01351305
3,12,0.00036627,-0.00428592,-0.01634823,0.00069793,-0.00419613,-0.01674752
3,13,0.02218443,0.01066014,0.0038872,0.02092291,0.01004647,0.00285571
4,1,-0.0526092,0.01176976,-0.00385403,-0.05195588,0.01418539,-0.00445094
4,2,0.00698297,0.01640711,0.0009674,0.00647092,0.01611207,-0.00012354
4,3,0.02649133,-0.00574929,-0.00715046,0.02393254,-0.00861985,-0.00653882
4,4,0.02850479,0.02211988,0.00568738,0.02975538,0.02244481,0.00674138
4,5,0.00811358,0.0123516,0.00461364,0.0084497,0.01285836,0.00480141
4,6,0.0295263,0.01442582,0.00090369,0.03079415,0.01648051,0.00038619
