     Conf.     atoms         Ref. total energy(Ha)           NN total energy(Ha)     E(Ref.) - E(NN) (Ha/atom)
         1        12                 -381.61150698                 -381.61134618                   -0.00001340
         2        12                 -381.61599591                 -381.61607339                    0.00000646
         3        13                 -381.97588852                 -381.97623265                    0.00002647
         4        13                 -381.97631444                 -381.97584511                   -0.00003610
         5        13                 -381.96842785                 -381.96845316                    0.00000195
         6        13                 -381.97424645                 -381.97428803                    0.00000320
         7        12                 -381.60809467                 -381.60817262                    0.00000650
         8        12                 -381.61482717                 -381.61407386                   -0.00006278
         9        12                 -381.60994234                 -381.60947137                   -0.00003925
        10        12                 -381.61110925                 -381.61090266                   -0.00001722
        11        12                 -381.61669477                 -381.61623150                   -0.00003861
        12        13                 -381.97724328                 -381.97725525                    0.00000092
        13        12                 -381.61042084                 -381.61029409                   -0.00001056
        14        12                 -381.61866352                 -381.61855755                   -0.00000883
        15        12                 -381.60361616                 -381.60289147                   -0.00006039
        16        12                 -381.61743308                 -381.61706074                   -0.00003103
        17        12                 -381.61006017                 -381.60948249                   -0.00004814
        18        13                 -381.97101179                 -381.97032551                   -0.00005279
        19        12                 -381.60975320                 -381.61015500                    0.00003348
        20        13                 -381.96999495                 -381.97036582                    0.00002853
        21        13                 -381.97977883                 -381.97972895                   -0.00000384
        22        13                 -381.97777416                 -381.97748167                   -0.00002250
        23        12                 -381.61290177                 -381.61302410                    0.00001019
        24        13                 -381.97610792                 -381.97662636                    0.00003988
        25        12                 -381.60370410                 -381.60457624                    0.00007268
        26        13                 -381.96894412                 -381.97013070                    0.00009128
        27        13                 -381.97477872                 -381.97436905                   -0.00003151
        28        12                 -381.61143578                 -381.61122093                   -0.00001790
        29        12                 -381.61229665                 -381.61261719                    0.00002671
        30        12                 -381.61385368                 -381.61410867                    0.00002125
        31        12                 -381.61056792                 -381.61094595                    0.00003150
        32        12                 -381.60146448                 -381.60108874                   -0.00003131
        33        13                 -381.98334025                 -381.98307213                   -0.00002062
        34        13                 -381.96961977                 -381.96853732                   -0.00008327
        35        13                 -381.98030670                 -381.97807949                   -0.00017132
        36        13                 -381.97464755                 -381.97353177                   -0.00008583
        37        13                 -381.97616131                 -381.97701621                    0.00006576
        38        12                 -381.61419952                 -381.61450666                    0.00002559
        39        12                 -381.61140342                 -381.61124133                   -0.00001351
        40        13                 -381.97651483                 -381.97705068                    0.00004122
        41        12                 -381.61505703                 -381.61472364                   -0.00002778
        42        12                 -381.60554730                 -381.60461240                   -0.00007791
        43        12                 -381.61082284                 -381.61058324                   -0.00001997
        44        13                 -381.97780513                 -381.97743848                   -0.00002820
        45        12                 -381.61360524                 -381.61348802                   -0.00000977
        46        13                 -381.97445703                 -381.97436757                   -0.00000688
        47        12                 -381.60928165                 -381.60894895                   -0.00002773
        48        12                 -381.60253284                 -381.60261868                    0.00000715
        49        12                 -381.62722813                 -381.62685869                   -0.00003079
        50        13                 -381.97594304                 -381.97625325                    0.00002386
        51        12                 -381.60971926                 -381.61007235                    0.00002942
        52        13                 -381.97801795                 -381.97781608                   -0.00001553
        53        12                 -381.61207753                 -381.61216300                    0.00000712
        54        12                 -381.60580991                 -381.60595108                    0.00001176
        55        13                 -381.97643305                 -381.97600612                   -0.00003284
        56        12                 -381.60419682                 -381.60425993                    0.00000526
        57        12                 -381.61024514                 -381.60977940                   -0.00003881
        58        13                 -381.97598139                 -381.97536044                   -0.00004776
        59        12                 -381.61635931                 -381.61666715                    0.00002565
        60        13                 -381.97852086                 -381.97835060                   -0.00001310
        61        12                 -381.61055854                 -381.61043973                   -0.00000990
        62        13                 -381.97276996                 -381.97111949                   -0.00012696
        63        12                 -381.61540453                 -381.61504364                   -0.00003007
        64        12                 -381.60242522                 -381.60336850                    0.00007861
        65        12                 -381.61371647                 -381.61367239                   -0.00000367
        66        12                 -381.61117480                 -381.61125302                    0.00000652
        67        13                 -381.97376597                 -381.97387731                    0.00000856
        68        13                 -381.98216487                 -381.98235497                    0.00001462
        69        13                 -381.96752716                 -381.96836069                    0.00006412
        70        13                 -381.97219061                 -381.97223070                    0.00000308
        71        13                 -381.98453774                 -381.98426007                   -0.00002136
        72        13                 -381.96907706                 -381.96857466                   -0.00003865
        73        13                 -381.96870612                 -381.96925889                    0.00004252
        74        12                 -381.61201707                 -381.61209614                    0.00000659
        75        13                 -381.97464847                 -381.97380046                   -0.00006523
        76        12                 -381.60376478                 -381.60420935                    0.00003705
        77        12                 -381.60993751                 -381.61051013                    0.00004772
        78        12                 -381.61587220                 -381.61607594                    0.00001698
        79        12                 -381.61059445                 -381.60989499                   -0.00005829
        80        13                 -381.97658486                 -381.97664867                    0.00000491
        81        12                 -381.60865531                 -381.60855075                   -0.00000871
        82        12                 -381.61063317                 -381.61045568                   -0.00001479
        83        13                 -381.97627309                 -381.97609065                   -0.00001403
        84        13                 -381.97586114                 -381.97560136                   -0.00001998
        85        12                 -381.60746052                 -381.60683881                   -0.00005181
        86        12                 -381.60555728                 -381.60541012                   -0.00001226
        87        13                 -381.97159524                 -381.97182004                    0.00001729
        88        13                 -381.96878558                 -381.96902537                    0.00001845
        89        13                 -381.98006393                 -381.98041320                    0.00002687
        90        13                 -381.96537718                 -381.96633108                    0.00007338
        91        13                 -381.98225681                 -381.98204629                   -0.00001619
        92        13                 -381.97152050                 -381.97274795                    0.00009442
        93        12                 -381.60506374                 -381.60455397                   -0.00004248
        94        12                 -381.61525172                 -381.61491245                   -0.00002827
        95        13                 -381.98095744                 -381.98036841                   -0.00004531
        96        13                 -381.97571348                 -381.97701140                    0.00009984
        97        13                 -381.97288704                 -381.97304786                    0.00001237
        98        13                 -381.96586411                 -381.96587534                    0.00000086
        99        12                 -381.61014044                 -381.60983112                   -0.00002578
       100        13                 -381.97560569                 -381.97472008                   -0.00006812
       101        12                 -381.61675929                 -381.61642596                   -0.00002778
       102        13                 -381.97729573                 -381.97786050                    0.00004344
       103        13                 -381.97767491                 -381.97729320                   -0.00002936
       104        13                 -381.98065053                 -381.98089912                    0.00001912
       105        13                 -381.97134104                 -381.97046079                   -0.00006771
       106        12                 -381.60695965                 -381.60654016                   -0.00003496
       107        12                 -381.61294457                 -381.61324295                    0.00002486
       108        12                 -381.61225777                 -381.61226694                    0.00000076
       109        12                 -381.60887006                 -381.60881854                   -0.00000429
       110        12                 -381.61461085                 -381.61436179                   -0.00002076
       111        13                 -381.97754734                 -381.97869375                    0.00008819
       112        12                 -381.60470871                 -381.60456322                   -0.00001212
       113        12                 -381.61485966                 -381.61425521                   -0.00005037
       114        13                 -381.96448765                 -381.96420677                   -0.00002161
       115        12                 -381.60353234                 -381.60316048                   -0.00003099
       116        12                 -381.61739488                 -381.61732220                   -0.00000606
       117        13                 -381.97146764                 -381.97132448                   -0.00001101
       118        13                 -381.97022065                 -381.96956774                   -0.00005022
       119        12                 -381.60636827                 -381.60765380                    0.00010713
       120        13                 -381.97859552                 -381.97782811                   -0.00005903
       121        13                 -381.97411229                 -381.97427418                    0.00001245
       122        12                 -381.60663989                 -381.60704554                    0.00003380
       123        12                 -381.61709186                 -381.61744114                    0.00002911
       124        13                 -381.97923087                 -381.97928821                    0.00000441
       125        12                 -381.60771191                 -381.60743093                   -0.00002341
       126        13                 -381.97812186                 -381.97854526                    0.00003257
       127        12                 -381.61328883                 -381.61338824                    0.00000828
