Conf.,atom,element,Ref. charge(e),NN charge(e)
1,1,6,-0.00981035,-0.0074118
1,2,6,-0.00387276,-0.00053754
1,3,6,-0.01231315,-0.01375905
1,4,6,-0.01020907,-0.00688037
1,5,6,-0.00570769,-0.00667292
1,6,6,-0.00116167,-0.00108627
1,7,6,-0.03124638,-0.02834828
1,8,6,-0.02622381,-0.02873059
1,9,6,-0.05062077,-0.05014375
1,10,6,-0.05596955,-0.05859406
1,11,1,0.10271721,0.09955521
1,12,1,0.10441794,0.10260941
2,1,6,-0.00994994,-0.01632518
2,2,6,-0.0025252,0.01006337
2,3,6,-0.01108806,-0.01459066
2,4,6,-0.01076143,-0.01725017
2,5,6,-0.0023748,0.01376847
2,6,6,-0.00337187,0.00906134
2,7,6,-0.0294366,-0.03571938
2,8,6,-0.02669957,-0.03383548
2,9,6,-0.05669904,-0.06202094
2,10,6,-0.05392845,-0.05792584
2,11,1,0.1043627,0.10336582
2,12,1,0.1024723,0.10140865
3,1,6,0.00580771,0.00957615
3,2,6,0.07877816,0.0878049
3,3,6,0.10413898,0.09967849
3,4,6,0.02538705,0.03390667
3,5,6,0.03525649,0.03078844
3,6,6,0.09971851,0.08846872
3,7,6,0.0955658,0.08134788
3,8,6,0.03817261,0.0503225
3,9,6,0.04375335,0.04750014
3,10,6,0.08315343,0.07480662
3,11,1,0.12147524,0.12220097
3,12,1,0.12870665,0.12710007
3,13,1,0.14008599,0.14649847
4,1,6,-0.01534411,-0.01850424
4,2,6,-0.00224386,0.00502812
4,3,6,-0.01151067,-0.00692025
4,4,6,-0.01025674,-0.02127555
4,5,6,-0.00135358,0.01178951
4,6,6,-0.00534174,0.00344706
4,7,6,-0.03452993,-0.03815658
4,8,6,-0.03123122,-0.03034485
4,9,6,-0.04730694,-0.05408622
4,10,6,-0.05190394,-0.05854504
4,11,1,0.10521909,0.10288039
4,12,1,0.10580362,0.10468765
5,1,6,0.00832601,0.00653403
5,2,6,0.08080584,0.08737532
5,3,6,0.1137458,0.10986749
5,4,6,0.02370421,0.02901395
5,5,6,0.03254824,0.02426143
5,6,6,0.09141909,0.0872088
5,7,6,0.09316725,0.08458476
5,8,6,0.04308687,0.06156602
5,9,6,0.0397847,0.05487306
5,10,6,0.08342428,0.06510515
5,11,1,0.12100521,0.11868548
5,12,1,0.12176902,0.12016182
5,13,1,0.14721344,0.1507627
6,1,6,0.01171519,0.01087547
6,2,6,0.08509242,0.09387305
6,3,6,0.11304298,0.11104247
6,4,6,0.02103216,0.02706365
6,5,6,0.03299064,0.02295811
6,6,6,0.09865885,0.09676637
6,7,6,0.08771155,0.08540858
6,8,6,0.03922308,0.04187311
6,9,6,0.04296644,0.04695135
6,10,6,0.08757729,0.07871248
6,11,1,0.1160353,0.11552999
6,12,1,0.11893323,0.11852766
6,13,1,0.14502085,0.15041771
7,1,6,0.00446955,0.00419572
7,2,6,0.08049756,0.09382466
7,3,6,0.12109237,0.11680345
7,4,6,0.02262179,0.03501023
7,5,6,0.03184433,0.02441407
7,6,6,0.10113637,0.08513149
7,7,6,0.09737835,0.08789458
7,8,6,0.03769989,0.04913536
7,9,6,0.04302251,0.04625271
7,10,6,0.08245954,0.0773412
7,11,1,0.12031389,0.11932655
7,12,1,0.1109615,0.10917216
7,13,1,0.14650236,0.15149782
8,1,6,-0.00556941,-0.00296496
8,2,6,-0.01267262,-0.01762082
8,3,6,-0.01611069,-0.00552199
8,4,6,-0.00880505,-0.00280679
8,5,6,0.00295833,-0.00268095
8,6,6,-0.00803968,0.00090068
8,7,6,-0.02734965,-0.02943306
8,8,6,-0.02778436,-0.02947673
8,9,6,-0.04884544,-0.05639183
8,10,6,-0.05578603,-0.05770465
8,11,1,0.10645527,0.1038677
8,12,1,0.10154935,0.0998334
9,1,6,0.00536782,0.00228963
9,2,6,0.0718371,0.08227033
9,3,6,0.11391506,0.10787296
9,4,6,0.02175029,0.03797712
9,5,6,0.03444635,0.02800676
9,6,6,0.09294627,0.08140125
9,7,6,0.09641687,0.08749518
9,8,6,0.03548947,0.05380808
9,9,6,0.04134118,0.03433686
9,10,6,0.08954664,0.08328075
9,11,1,0.12209889,0.12121348
9,12,1,0.12229678,0.12032676
9,13,1,0.15254723,0.15972086
10,1,6,-0.00697705,0.00612622
10,2,6,-0.00710172,0.00220162
10,3,6,-0.01683715,-0.02914299
10,4,6,-0.0174164,-0.03068321
10,5,6,0.00152386,0.01825574
10,6,6,0.0028094,0.02195521
10,7,6,-0.03017007,-0.03820386
10,8,6,-0.03177378,-0.04110168
10,9,6,-0.05559755,-0.0608571
10,10,6,-0.05073216,-0.05591757
10,11,1,0.10561642,0.10324439
10,12,1,0.10665622,0.10412323
11,1,6,0.00940118,0.01103179
