Conf.,atoms,Ref. total energy(Ha),NN total energy(Ha),E(Ref.) - E(NN) (Ha/atom)
1,12,-381.6063581,-381.606029,-0.00002743
2,12,-381.6156851,-381.6159813,0.00002469
3,13,-381.9741381,-381.9751605,0.00007865
4,12,-381.6094391,-381.6101668,0.00006064
5,13,-381.9774487,-381.9776195,0.00001314
6,13,-381.981515,-381.9819819,0.00003592
7,13,-381.9735933,-381.9739522,0.00002761
8,12,-381.6104012,-381.6107146,0.00002612
9,13,-381.9718228,-381.9715818,-0.00001854
10,12,-381.6166874,-381.6163452,-0.00002852
11,13,-381.9759263,-381.9749412,-0.00007578
12,12,-381.6172312,-381.6173567,0.00001046
13,13,-381.9787838,-381.9781384,-0.00004965
14,12,-381.6127888,-381.6126277,-0.00001342
15,12,-381.6159841,-381.6156338,-0.00002919
16,12,-381.6077574,-381.6070253,-0.00006101
17,12,-381.6099665,-381.6096174,-0.00002909
18,12,-381.6182393,-381.6180328,-0.00001721
19,13,-381.9782224,-381.9776964,-0.00004046
20,13,-381.9806543,-381.9804066,-0.00001905
21,13,-381.9772618,-381.9769555,-0.00002357
22,12,-381.6063973,-381.6063071,-0.00000752
23,13,-381.974846,-381.9743219,-0.00004032
24,12,-381.6195626,-381.6192132,-0.00002912
25,12,-381.6125807,-381.6126879,0.00000893
26,13,-381.9704895,-381.9710276,0.0000414
27,12,-381.6143762,-381.6140666,-0.0000258
28,13,-381.9716261,-381.9720703,0.00003417
29,12,-381.6097805,-381.6101564,0.00003132
30,13,-381.9724627,-381.9725186,0.0000043
31,12,-381.5967085,-381.5968003,0.00000764
32,12,-381.6029283,-381.6026141,-0.00002618
33,13,-381.974457,-381.9741406,-0.00002434
34,13,-381.972672,-381.972478,-0.00001492
35,13,-381.9654662,-381.965451,-0.00000117
36,13,-381.9698298,-381.9700021,0.00001325
37,12,-381.615564,-381.6164883,0.00007703
38,13,-381.9776206,-381.977887,0.00002049
39,13,-381.973617,-381.9727872,-0.00006383
40,12,-381.6165432,-381.6163498,-0.00001612
41,13,-381.9686213,-381.9693512,0.00005614
42,12,-381.6194528,-381.6191764,-0.00002303
43,12,-381.612106,-381.6121804,0.00000619
44,12,-381.6152069,-381.6152961,0.00000743
45,13,-381.9657575,-381.9669232,0.00008967
46,13,-381.9794246,-381.97926,-0.00001266
47,13,-381.9803463,-381.9804315,0.00000655
48,12,-381.6150145,-381.6147213,-0.00002443
49,13,-381.976724,-381.9764017,-0.00002479
50,12,-381.6184017,-381.6185229,0.0000101
51,13,-381.9751534,-381.975186,0.0000025
52,12,-381.6051601,-381.6051302,-0.00000249
53,13,-381.9811952,-381.9809407,-0.00001957
54,13,-381.9647776,-381.9651129,0.00002579
55,13,-381.9763426,-381.9769025,0.00004307
56,12,-381.6195255,-381.6192836,-0.00002015
57,12,-381.608763,-381.6086065,-0.00001303
58,13,-381.9802497,-381.9797775,-0.00003632
59,12,-381.6116751,-381.6120758,0.0000334
60,12,-381.6091369,-381.6090843,-0.00000438
61,13,-381.973481,-381.9744436,0.00007405
62,12,-381.6177312,-381.6176285,-0.00000856
63,12,-381.6155301,-381.6153628,-0.00001394
64,13,-381.9786927,-381.9779638,-0.00005607
65,13,-381.9787436,-381.9776925,-0.00008085
66,12,-381.6117942,-381.6120658,0.00002264
67,13,-381.9697831,-381.9705399,0.00005822
68,12,-381.617787,-381.6177934,0.00000053
69,13,-381.9756095,-381.975237,-0.00002865
70,12,-381.6139789,-381.6137311,-0.00002065
71,12,-381.6147841,-381.6144746,-0.0000258
72,13,-381.9755921,-381.9752932,-0.00002299
73,12,-381.6101259,-381.6101292,0.00000027
74,13,-381.9712832,-381.9708954,-0.00002983
75,13,-381.9774058,-381.9776781,0.00002095
76,12,-381.6133125,-381.6130798,-0.00001939
77,13,-381.9767362,-381.9754891,-0.00009593
78,13,-381.9805384,-381.9810285,0.0000377
79,12,-381.6194523,-381.6191629,-0.00002411
80,13,-381.9750299,-381.9759938,0.00007414
81,13,-381.9745253,-381.974278,-0.00001903
82,13,-381.9823656,-381.9826921,0.00002512
83,13,-381.9685623,-381.9675813,-0.00007546
84,13,-381.9720878,-381.971396,-0.00005321
85,12,-381.6050881,-381.6063781,0.0001075
86,12,-381.6102448,-381.610426,0.0000151
87,12,-381.6194874,-381.6195922,0.00000874
88,13,-381.9730379,-381.9726962,-0.00002629
89,12,-381.6060295,-381.6056481,-0.00003178
90,13,-381.9637565,-381.9632409,-0.00003966
91,12,-381.6077612,-381.6079082,0.00001225
92,12,-381.6063226,-381.6072399,0.00007644
93,13,-381.9708678,-381.9703283,-0.00004149
94,13,-381.9688776,-381.9689179,0.0000031
95,13,-381.9763732,-381.9768409,0.00003598
96,13,-381.967954,-381.9674604,-0.00003797
97,12,-381.6060616,-381.6054883,-0.00004778
98,12,-381.6087762,-381.6094065,0.00005253
99,12,-381.6062341,-381.6060378,-0.00001636
100,12,-381.6153761,-381.6156098,0.00001947
101,12,-381.6091151,-381.6082122,-0.00007524
102,12,-381.6150961,-381.6152823,0.00001552
103,13,-381.9670808,-381.9678698,0.00006069
104,12,-381.599664,-381.5998158,0.00001265
105,13,-381.9818817,-381.9824358,0.00004263
106,12,-381.6193313,-381.6190475,-0.00002365
107,13,-381.976151,-381.9766293,0.00003679
108,12,-381.6098956,-381.6102475,0.00002932
109,12,-381.6005501,-381.6012451,0.00005792
110,13,-381.9621171,-381.9628466,0.00005612
111,13,-381.9717556,-381.9725632,0.00006212
112,12,-381.6094022,-381.6095315,0.00001077
113,13,-381.9721287,-381.97221,0.00000625
114,13,-381.9690082,-381.9696171,0.00004685
115,13,-381.9725331,-381.9713455,-0.00009136
116,13,-381.9620205,-381.9613348,-0.00005275
117,12,-381.6053159,-381.6064474,0.00009429
118,12,-381.6059115,-381.6057727,-0.00001157
119,12,-381.6161644,-381.6162843,0.00000999
120,12,-381.6139947,-381.6136427,-0.00002933
121,12,-381.6047234,-381.6044933,-0.00001918
122,12,-381.6192442,-381.619078,-0.00001385
123,13,-381.972983,-381.9726179,-0.00002808
124,13,-381.974391,-381.9744289,0.00000291
125,12,-381.6129055,-381.6130839,0.00001487
126,12,-381.6120792,-381.6120336,-0.0000038
127,13,-381.9693475,-381.9690583,-0.00002225
128,12,-381.6080625,-381.6085626,0.00004168
129,12,-381.6062002,-381.6059026,-0.0000248
130,12,-381.6011102,-381.6010335,-0.00000639
131,12,-381.6129331,-381.6131848,0.00002097
132,13,-381.9703688,-381.9710581,0.00005303
133,12,-381.6068553,-381.6064985,-0.00002973
134,12,-381.6150561,-381.6147028,-0.00002945
135,12,-381.6118685,-381.6121978,0.00002744
136,12,-381.607744,-381.6072883,-0.00003797
137,12,-381.6193695,-381.6189146,-0.00003791
138,13,-381.9648151,-381.9650151,0.00001538
139,12,-381.6026451,-381.6031894,0.00004536
140,12,-381.6123406,-381.6126117,0.0000226
141,13,-381.9675845,-381.9694636,0.00014455
142,13,-381.9720776,-381.9734022,0.00010189
143,13,-381.9700802,-381.9685072,-0.000121
144,12,-381.611099,-381.6107875,-0.00002596
145,12,-381.6095772,-381.6096703,0.00000776
146,12,-381.6157303,-381.6150855,-0.00005373
147,12,-381.6017342,-381.6019011,0.0000139
148,13,-381.9709882,-381.9715103,0.00004016
149,12,-381.6114259,-381.6113703,-0.00000463
150,12,-381.6157265,-381.6154682,-0.00002152
151,12,-381.604116,-381.6037545,-0.00003013
152,13,-381.9867646,-381.9864493,-0.00002426
153,12,-381.5982875,-381.5986096,0.00002684
154,12,-381.6126095,-381.6121954,-0.00003451
155,13,-381.9719215,-381.9729453,0.00007875
156,13,-381.9775534,-381.976939,-0.00004725
157,13,-381.9689107,-381.9677689,-0.00008783
158,13,-381.9737208,-381.9731325,-0.00004525
159,12,-381.6128871,-381.6125392,-0.000029
160,12,-381.6172776,-381.6176399,0.00003019
161,13,-381.9747887,-381.9756055,0.00006283
162,13,-381.9736779,-381.973041,-0.00004899
163,12,-381.6140281,-381.6141483,0.00001002
164,12,-381.6069646,-381.6070305,0.00000549
165,12,-381.6080075,-381.6073243,-0.00005694
166,13,-381.980266,-381.980603,0.00002592
167,13,-381.9797331,-381.9797515,0.00000141
168,13,-381.9706503,-381.970681,0.00000236
169,13,-381.9764639,-381.9764173,-0.00000359
170,13,-381.9788649,-381.9792573,0.00003018
171,13,-381.9737527,-381.9737402,-0.00000096
172,13,-381.9743459,-381.9747657,0.00003229
173,12,-381.6122731,-381.6120735,-0.00001663
174,13,-381.9782275,-381.9785357,0.00002371
175,12,-381.615113,-381.6151465,0.00000279
176,13,-381.9730934,-381.9732589,0.00001273
177,13,-381.9677166,-381.9674317,-0.00002191
178,13,-381.9752961,-381.9752628,-0.00000256
179,13,-381.9713486,-381.9707818,-0.0000436
180,13,-381.9716995,-381.9717347,0.00000271
181,12,-381.6077438,-381.6079409,0.00001642
182,13,-381.9783111,-381.9785999,0.00002222
183,12,-381.6071664,-381.6072782,0.00000932
184,13,-381.9845119,-381.9845824,0.00000542
185,12,-381.6127698,-381.6126774,-0.0000077
186,12,-381.6124317,-381.6125681,0.00001136
187,12,-381.6115648,-381.6115537,-0.00000093
188,12,-381.6063088,-381.6062923,-0.00000137
189,13,-381.9782333,-381.9785768,0.00002642
190,13,-381.9707267,-381.9705942,-0.00001019
191,12,-381.6159574,-381.6155579,-0.00003329
192,12,-381.6088057,-381.6086475,-0.00001319
193,13,-381.9742025,-381.9749012,0.00005375
194,12,-381.6037475,-381.6037226,-0.00000208
195,12,-381.6064713,-381.6068599,0.00003238
196,13,-381.9777864,-381.9772361,-0.00004233
197,13,-381.9741083,-381.9726248,-0.00011412
198,13,-381.9763335,-381.9761755,-0.00001215
