     Conf.     atoms         Ref. total energy(Ha)           NN total energy(Ha)     E(Ref.) - E(NN) (Ha/atom)
         1        12                 -381.60635814                 -381.60602902                   -0.00002743
         2        12                 -381.61568508                 -381.61598132                    0.00002469
         3        13                 -381.97413808                 -381.97516052                    0.00007865
         4        12                 -381.60943909                 -381.61016681                    0.00006064
         5        13                 -381.97744870                 -381.97761954                    0.00001314
         6        13                 -381.98151498                 -381.98198189                    0.00003592
         7        13                 -381.97359333                 -381.97395221                    0.00002761
         8        12                 -381.61040117                 -381.61071460                    0.00002612
         9        13                 -381.97182283                 -381.97158177                   -0.00001854
        10        12                 -381.61668742                 -381.61634518                   -0.00002852
        11        13                 -381.97592633                 -381.97494116                   -0.00007578
        12        12                 -381.61723124                 -381.61735674                    0.00001046
        13        13                 -381.97878384                 -381.97813842                   -0.00004965
        14        12                 -381.61278879                 -381.61262773                   -0.00001342
        15        12                 -381.61598406                 -381.61563377                   -0.00002919
        16        12                 -381.60775742                 -381.60702528                   -0.00006101
        17        12                 -381.60996652                 -381.60961741                   -0.00002909
        18        12                 -381.61823934                 -381.61803281                   -0.00001721
        19        13                 -381.97822236                 -381.97769639                   -0.00004046
        20        13                 -381.98065428                 -381.98040660                   -0.00001905
        21        13                 -381.97726184                 -381.97695548                   -0.00002357
        22        12                 -381.60639732                 -381.60630708                   -0.00000752
        23        13                 -381.97484601                 -381.97432187                   -0.00004032
        24        12                 -381.61956264                 -381.61921321                   -0.00002912
        25        12                 -381.61258069                 -381.61268787                    0.00000893
        26        13                 -381.97048949                 -381.97102764                    0.00004140
        27        12                 -381.61437620                 -381.61406660                   -0.00002580
        28        13                 -381.97162614                 -381.97207033                    0.00003417
        29        12                 -381.60978051                 -381.61015638                    0.00003132
        30        13                 -381.97246267                 -381.97251862                    0.00000430
        31        12                 -381.59670854                 -381.59680027                    0.00000764
        32        12                 -381.60292825                 -381.60261411                   -0.00002618
        33        13                 -381.97445697                 -381.97414055                   -0.00002434
        34        13                 -381.97267200                 -381.97247799                   -0.00001492
        35        13                 -381.96546620                 -381.96545101                   -0.00000117
        36        13                 -381.96982980                 -381.97000208                    0.00001325
        37        12                 -381.61556397                 -381.61648828                    0.00007703
        38        13                 -381.97762062                 -381.97788697                    0.00002049
        39        13                 -381.97361699                 -381.97278716                   -0.00006383
        40        12                 -381.61654315                 -381.61634977                   -0.00001612
        41        13                 -381.96862129                 -381.96935115                    0.00005614
        42        12                 -381.61945280                 -381.61917640                   -0.00002303
        43        12                 -381.61210602                 -381.61218035                    0.00000619
        44        12                 -381.61520693                 -381.61529605                    0.00000743
        45        13                 -381.96575749                 -381.96692318                    0.00008967
        46        13                 -381.97942458                 -381.97926002                   -0.00001266
        47        13                 -381.98034629                 -381.98043146                    0.00000655
        48        12                 -381.61501453                 -381.61472134                   -0.00002443
        49        13                 -381.97672397                 -381.97640166                   -0.00002479
        50        12                 -381.61840166                 -381.61852291                    0.00001010
        51        13                 -381.97515342                 -381.97518597                    0.00000250
        52        12                 -381.60516007                 -381.60513017                   -0.00000249
        53        13                 -381.98119517                 -381.98094070                   -0.00001957
        54        13                 -381.96477760                 -381.96511287                    0.00002579
        55        13                 -381.97634255                 -381.97690246                    0.00004307
        56        12                 -381.61952545                 -381.61928361                   -0.00002015
        57        12                 -381.60876295                 -381.60860653                   -0.00001303
        58        13                 -381.98024968                 -381.97977746                   -0.00003632
        59        12                 -381.61167506                 -381.61207582                    0.00003340
        60        12                 -381.60913694                 -381.60908434                   -0.00000438
        61        13                 -381.97348096                 -381.97444355                    0.00007405
        62        12                 -381.61773122                 -381.61762847                   -0.00000856
        63        12                 -381.61553014                 -381.61536280                   -0.00001394
        64        13                 -381.97869273                 -381.97796382                   -0.00005607
        65        13                 -381.97874358                 -381.97769247                   -0.00008085
        66        12                 -381.61179416                 -381.61206580                    0.00002264
        67        13                 -381.96978309                 -381.97053991                    0.00005822
        68        12                 -381.61778698                 -381.61779337                    0.00000053
        69        13                 -381.97560947                 -381.97523698                   -0.00002865
        70        12                 -381.61397887                 -381.61373111                   -0.00002065
        71        12                 -381.61478414                 -381.61447457                   -0.00002580
        72        13                 -381.97559205                 -381.97529316                   -0.00002299
        73        12                 -381.61012592                 -381.61012917                    0.00000027
        74        13                 -381.97128316                 -381.97089537                   -0.00002983
        75        13                 -381.97740579                 -381.97767811                    0.00002095
        76        12                 -381.61331245                 -381.61307982                   -0.00001939
        77        13                 -381.97673624                 -381.97548911                   -0.00009593
        78        13                 -381.98053839                 -381.98102848                    0.00003770
        79        12                 -381.61945226                 -381.61916294                   -0.00002411
        80        13                 -381.97502991                 -381.97599376                    0.00007414
        81        13                 -381.97452530                 -381.97427795                   -0.00001903
        82        13                 -381.98236557                 -381.98269213                    0.00002512
        83        13                 -381.96856225                 -381.96758130                   -0.00007546
        84        13                 -381.97208776                 -381.97139598                   -0.00005321
        85        12                 -381.60508807                 -381.60637806                    0.00010750
        86        12                 -381.61024477                 -381.61042597                    0.00001510
        87        12                 -381.61948735                 -381.61959224                    0.00000874
        88        13                 -381.97303793                 -381.97269620                   -0.00002629
        89        12                 -381.60602948                 -381.60564810                   -0.00003178
        90        13                 -381.96375651                 -381.96324087                   -0.00003966
