Conf.,atom,element,Ref. charge(e),NN charge(e)
1,1,11,0.53256334,0.5439083
1,2,17,-0.48649311,-0.42073194
1,3,17,-0.38312737,-0.38228943
1,4,11,0.35481346,0.36984024
1,5,11,0.34678656,0.34816544
1,6,17,-0.34531572,-0.3606422
1,7,17,-0.37225706,-0.37143623
1,8,11,0.36519871,0.36292815
1,9,11,0.38615952,0.38122784
1,10,17,-0.35769381,-0.3741958
1,11,17,-0.3506321,-0.37179029
1,12,11,0.73724143,0.73891056
1,13,11,0.37585736,0.37344529
1,14,17,-0.36191201,-0.376664
1,15,17,-0.34730459,-0.35026503
1,16,11,0.51933186,0.51006554
1,17,11,0.38678357,0.37952357
2,1,11,0.44482115,0.45354898
2,2,17,-0.43317264,-0.38934058
2,3,17,-0.35970346,-0.36799247
2,4,11,0.3534429,0.35889151
2,5,11,0.36911305,0.35928767
2,6,17,-0.37766438,-0.37525524
2,7,17,-0.35029383,-0.36176199
2,8,11,0.35745342,0.35897636
2,9,11,0.38752062,0.38355974
2,10,17,-0.36100776,-0.36631881
2,11,17,-0.3649143,-0.36683026
2,12,11,0.71483255,0.71506232
2,13,11,0.40145583,0.40501227
2,14,17,-0.35666655,-0.37140412
2,15,17,-0.33254035,-0.330467
2,16,11,0.54037001,0.53700123
2,17,11,0.36695374,0.3580304
3,1,11,0.56541527,0.5573963
3,2,17,-0.28524337,-0.33993695
3,3,17,-0.3120257,-0.30784574
3,4,11,0.38097362,0.38582389
3,5,11,0.36863092,0.371102
3,6,17,-0.30547939,-0.29061157
3,7,17,-0.31213794,-0.3003538
3,8,11,0.38933906,0.39425671
3,9,11,0.41188757,0.41275204
3,10,17,-0.30669991,-0.31128252
3,11,17,-0.31675785,-0.29282745
3,12,11,0.40313013,0.41120375
3,13,17,-0.31088327,-0.30348322
3,14,17,-0.2738866,-0.29531359
3,15,11,0.53491089,0.5381207
3,16,11,0.36882655,0.37099945
4,1,11,0.47184592,0.4648761
4,2,17,-0.27974466,-0.31450856
4,3,17,-0.3000933,-0.29529935
4,4,11,0.39649393,0.39543974
4,5,11,0.3855491,0.38667102
4,6,17,-0.30315171,-0.29040069
4,7,17,-0.30668283,-0.28890486
4,8,11,0.39227533,0.39381098
4,9,11,0.38276761,0.3860981
4,10,17,-0.31440146,-0.28812816
4,11,17,-0.28766825,-0.31571998
4,12,11,0.39578194,0.3949076
4,13,17,-0.31364879,-0.29378812
4,14,17,-0.26579976,-0.27538901
4,15,11,0.54096387,0.5423333
4,16,11,0.40551313,0.39800189
5,1,11,0.52524711,0.53947794
5,2,17,-0.46420156,-0.41330748
5,3,17,-0.38327589,-0.37938259
5,4,11,0.35380495,0.3673974
5,5,11,0.34970777,0.35053127
5,6,17,-0.35656421,-0.36607433
5,7,17,-0.37138057,-0.37210681
5,8,11,0.37254999,0.36984077
5,9,11,0.37915056,0.37721261
5,10,17,-0.36411518,-0.36990078
5,11,17,-0.35679548,-0.36869804
5,12,11,0.71949646,0.71887449
5,13,11,0.37891134,0.37647544
5,14,17,-0.34976976,-0.37220727
5,15,17,-0.35099614,-0.35402222
5,16,11,0.54325608,0.52836937
5,17,11,0.37497461,0.36752024
6,1,11,0.475838,0.48398725
6,2,17,-0.44111529,-0.39295579
6,3,17,-0.37324295,-0.37149205
6,4,11,0.3607,0.36791953
6,5,11,0.36384344,0.36018217
6,6,17,-0.36119091,-0.36375192
6,7,17,-0.34191208,-0.35804276
6,8,11,0.36426486,0.35932025
6,9,11,0.34818603,0.34175809
6,10,17,-0.3473643,-0.36085969
6,11,17,-0.36413701,-0.36890904
6,12,11,0.70398592,0.70779967
6,13,11,0.40153837,0.40436678
6,14,17,-0.35806427,-0.37260883
6,15,17,-0.33835072,-0.33576959
6,16,11,0.52140865,0.5205244
6,17,11,0.38561226,0.37853153
7,1,11,0.47818383,0.48889214
7,2,17,-0.4485672,-0.39291497
7,3,17,-0.36958306,-0.36745712
7,4,11,0.35142345,0.36048572
7,5,11,0.35446803,0.35450912
7,6,17,-0.3473417,-0.35735955
7,7,17,-0.37125647,-0.36920703
7,8,11,0.36721595,0.36063139
7,9,11,0.38452998,0.38187127
7,10,17,-0.35478093,-0.36609532
7,11,17,-0.3599103,-0.36978591
7,12,11,0.70711969,0.70882733
7,13,11,0.36358434,0.36171515
7,14,17,-0.3474261,-0.36606094
7,15,17,-0.34861159,-0.34543758
7,16,11,0.5473169,0.53494312
7,17,11,0.39363526,0.3824432
8,1,11,0.52010276,0.53162883
8,2,17,-0.46032497,-0.40970817
8,3,17,-0.37998901,-0.37761535
8,4,11,0.3660403,0.37634058
8,5,11,0.35099332,0.35142386
8,6,17,-0.34889775,-0.36138122
8,7,17,-0.37973338,-0.37298233
8,8,11,0.36003274,0.35736678
8,9,11,0.35926713,0.35986186
8,10,17,-0.34432727,-0.36059441
8,11,17,-0.36057934,-0.37305689
8,12,11,0.70798205,0.70773133
8,13,11,0.37760051,0.37456024
8,14,17,-0.34889801,-0.36863735
8,15,17,-0.33993459,-0.34126807
8,16,11,0.5152535,0.51358785
8,17,11,0.40541198,0.39274245
9,1,11,0.45965608,0.46851733
9,2,17,-0.44197865,-0.39304007
9,3,17,-0.36935674,-0.37493425
9,4,11,0.37016108,0.37255702
9,5,11,0.36314087,0.35798735
9,6,17,-0.37663904,-0.37218673
9,7,17,-0.36341675,-0.36384371
9,8,11,0.35909502,0.35897529
9,9,11,0.36991289,0.36871617
9,10,17,-0.3501977,-0.36155362
9,11,17,-0.36904012,-0.37301779
9,12,11,0.72003245,0.72128826
9,13,11,0.38222136,0.38598576
9,14,17,-0.3429375,-0.36429175
9,15,17,-0.33930628,-0.33657091
9,16,11,0.53007613,0.51719802
9,17,11,0.39857687,0.38821363
10,1,11,0.49898129,0.49122058
10,2,17,-0.28915612,-0.32433714
10,3,17,-0.30002786,-0.30426251
10,4,11,0.40463788,0.39817876
10,5,11,0.36804271,0.35970443
10,6,17,-0.2945661,-0.29475012
10,7,17,-0.29933394,-0.29693285
10,8,11,0.39279566,0.39512562
10,9,11,0.39495204,0.39856766
10,10,17,-0.31789188,-0.28913152
10,11,17,-0.30362656,-0.30303784
10,12,11,0.38377092,0.38819639
10,13,17,-0.31365703,-0.29666121
10,14,17,-0.26119448,-0.261139
10,15,11,0.53853406,0.54170024
10,16,11,0.39773948,0.39755852
11,1,11,0.44913934,0.45772396
11,2,17,-0.4529909,-0.39615415
11,3,17,-0.37095582,-0.37719937
11,4,11,0.35826977,0.35864187
11,5,11,0.3934193,0.38835693
11,6,17,-0.37078468,-0.37410948
11,7,17,-0.35034287,-0.36391059
11,8,11,0.39369773,0.39152582
11,9,11,0.36483992,0.36082579
11,10,17,-0.36152861,-0.36625892
11,11,17,-0.37502234,-0.37251479
11,12,11,0.72150407,0.72414876
11,13,11,0.367728,0.37121536
11,14,17,-0.33889717,-0.36035507
11,15,17,-0.33923373,-0.33578365
11,16,11,0.5339023,0.52781271
11,17,11,0.37725576,0.3660348
12,1,11,0.49847806,0.48811328
12,2,17,-0.27624889,-0.32674628
12,3,17,-0.30930965,-0.30568201
12,4,11,0.39403348,0.38667298
12,5,11,0.39662288,0.39626175
12,6,17,-0.31119804,-0.30158731
12,7,17,-0.30775193,-0.30518649
12,8,11,0.4056268,0.40476037
12,9,11,0.38094826,0.38150286
12,10,17,-0.30716939,-0.29652803
12,11,17,-0.30465792,-0.29524966
12,12,11,0.39386533,0.40110232
12,13,17,-0.31203234,-0.29461867
12,14,17,-0.26385415,-0.26010971
12,15,11,0.53525619,0.53839324
12,16,11,0.38739132,0.38890137
13,1,11,0.5072217,0.49905996
13,2,17,-0.27351306,-0.32675228
13,3,17,-0.30877903,-0.29790788
13,4,11,0.37305186,0.37237148
13,5,11,0.39618108,0.39645558
13,6,17,-0.2935874,-0.29690526
13,7,17,-0.30420835,-0.29406295
13,8,11,0.38100988,0.38229693
13,9,11,0.39594405,0.3978473
13,10,17,-0.30372006,-0.2998696
13,11,17,-0.31127862,-0.29759535
13,12,11,0.39554063,0.40147219
13,13,17,-0.30614247,-0.2934769
13,14,17,-0.25857969,-0.25797425
13,15,11,0.50584967,0.51072681
13,16,11,0.40500976,0.40431421
14,1,11,0.56080075,0.55347341
14,2,17,-0.29226277,-0.34269052
14,3,17,-0.31998738,-0.31075962
14,4,11,0.38883411,0.39530984
14,5,11,0.39043365,0.39046383
14,6,17,-0.30064937,-0.30855497
14,7,17,-0.31094389,-0.30256207
14,8,11,0.37419596,0.3753806
14,9,11,0.40103856,0.40185237
14,10,17,-0.31289428,-0.30687706
14,11,17,-0.31444692,-0.30469546
14,12,11,0.38583665,0.39126109
14,13,17,-0.32003386,-0.30519065
14,14,17,-0.26503336,-0.26610571
14,15,11,0.54268589,0.54821967
14,16,11,0.39242632,0.39147524
15,1,11,0.53456987,0.52598521
15,2,17,-0.27982542,-0.3315461
15,3,17,-0.30772788,-0.30070821
15,4,11,0.3743095,0.37479788
15,5,11,0.3762597,0.37334458
15,6,17,-0.29695017,-0.29608026
15,7,17,-0.30504293,-0.2944474
15,8,11,0.39122365,0.39276295
15,9,11,0.3818303,0.38391943
15,10,17,-0.30514204,-0.29619328
15,11,17,-0.30037434,-0.30045973
15,12,11,0.38805766,0.39471519
15,13,17,-0.31368064,-0.29428532
15,14,17,-0.26548945,-0.26205635
15,15,11,0.53489137,0.53562432
15,16,11,0.39309085,0.39462709
16,1,11,0.52647025,0.52332727
16,2,17,-0.2871679,-0.33683784
16,3,17,-0.31308927,-0.31944426
16,4,11,0.39451171,0.38667737
16,5,11,0.38857977,0.38646658
16,6,17,-0.31192674,-0.3029726
16,7,17,-0.31512383,-0.30016111
16,8,11,0.38434338,0.38668848
16,9,11,0.39507058,0.39609373
16,10,17,-0.31083547,-0.30269269
16,11,17,-0.30628351,-0.29990473
16,12,11,0.39278235,0.39329507
16,13,17,-0.31846804,-0.29819613
16,14,17,-0.27032286,-0.26536106
16,15,11,0.55752732,0.55905914
16,16,11,0.39393229,0.39396278
17,1,11,0.51984214,0.51205831
17,2,17,-0.28232543,-0.32740327
17,3,17,-0.30207636,-0.30891432
17,4,11,0.38764288,0.38437867
17,5,11,0.3724621,0.36961249
17,6,17,-0.29438855,-0.29934001
17,7,17,-0.3085776,-0.29405065
17,8,11,0.37837491,0.3792876
17,9,11,0.40902921,0.40805814
17,10,17,-0.29766016,-0.30175216
17,11,17,-0.31118465,-0.28959376
17,12,11,0.39544202,0.4033491
17,13,17,-0.31578787,-0.2898043
17,14,17,-0.25968275,-0.2603372
17,15,11,0.52937005,0.53447153
17,16,11,0.37952007,0.37997983
18,1,11,0.54283447,0.53999638
18,2,17,-0.29003115,-0.33986132
18,3,17,-0.3107347,-0.32126676
18,4,11,0.39404144,0.39188843
18,5,11,0.39354178,0.39168959
18,6,17,-0.30417688,-0.30294921
18,7,17,-0.31137348,-0.29634424
18,8,11,0.3816291,0.38456789
18,9,11,0.3804274,0.38203784
18,10,17,-0.30796021,-0.30054055
18,11,17,-0.3070235,-0.30081113
18,12,11,0.3905256,0.39753674
18,13,17,-0.32125884,-0.30055625
18,14,17,-0.27131471,-0.26618536
18,15,11,0.55459805,0.5527903
18,16,11,0.38627567,0.38800764
19,1,11,0.50445404,0.5187861
19,2,17,-0.46488017,-0.40970519
19,3,17,-0.38962747,-0.38301367
19,4,11,0.35160882,0.36496656
19,5,11,0.35198211,0.34838791
19,6,17,-0.35708793,-0.36798471
19,7,17,-0.3541859,-0.36944983
19,8,11,0.38187034,0.37609773
19,9,11,0.38951864,0.38315292
19,10,17,-0.35783947,-0.37015347
19,11,17,-0.36000532,-0.37032454
19,12,11,0.71489535,0.71537633
19,13,11,0.37800436,0.37764393
19,14,17,-0.35411748,-0.37132531
19,15,17,-0.33226591,-0.33209917
19,16,11,0.52058274,0.52142492
19,17,11,0.37709317,0.3682195
20,1,11,0.45953219,0.46436024
20,2,17,-0.43821943,-0.38835201
20,3,17,-0.37816204,-0.37695569
20,4,11,0.37243896,0.37518341
20,5,11,0.380303,0.37966333
20,6,17,-0.36887014,-0.36960485
20,7,17,-0.3755511,-0.37011911
20,8,11,0.37103506,0.36466194
20,9,11,0.36185087,0.36274326
20,10,17,-0.34649834,-0.35829382
20,11,17,-0.36257466,-0.36836587
20,12,11,0.71311174,0.71228729
20,13,11,0.35979665,0.35728975
20,14,17,-0.33892491,-0.36076712
20,15,17,-0.33777407,-0.3364992
20,16,11,0.5394286,0.53304296
20,17,11,0.38907754,0.37972547
21,1,11,0.55202582,0.55012143
21,2,17,-0.27687736,-0.33853992
21,3,17,-0.31283648,-0.31985129
21,4,11,0.39217002,0.39515866
21,5,11,0.37621961,0.37815759
21,6,17,-0.31841249,-0.29792537
21,7,17,-0.31660328,-0.30443964
21,8,11,0.40044791,0.39885518
21,9,11,0.39657917,0.3988319
21,10,17,-0.32294242,-0.30321516
21,11,17,-0.30684118,-0.31616529
21,12,11,0.37922506,0.38338765
21,13,17,-0.32227389,-0.30517698
21,14,17,-0.26166871,-0.26647868
21,15,11,0.53343608,0.5404391
21,16,11,0.40835214,0.40684084
22,1,11,0.50942747,0.4998736
22,2,17,-0.28815209,-0.32635272
22,3,17,-0.31081712,-0.31511141
22,4,11,0.40631881,0.39768392
22,5,11,0.39036758,0.39068388
22,6,17,-0.3110194,-0.29231498
22,7,17,-0.29937324,-0.2961215
22,8,11,0.38652895,0.38830115
22,9,11,0.38660687,0.38631961
22,10,17,-0.29609297,-0.29953897
22,11,17,-0.30176537,-0.29299648
22,12,11,0.38767462,0.39631049
22,13,17,-0.31699887,-0.29263477
