Conf.,atom,Ref. Fx(Ha/Bohr),Ref. Fy(Ha/Bohr),Ref. Fz(Ha/Bohr),NN Fx(Ha/Bohr),NN Fy(Ha/Bohr),NN Fz(Ha/Bohr)
1,1,0.00200866,-0.01170047,-0.00064225,0.0029999,-0.00978479,-0.00067259
1,2,-0.00395226,0.01913571,0.00065247,-0.00355682,0.01740231,0.00063957
1,3,-0.01479564,-0.00313156,0.00014042,-0.01524202,-0.00243284,0.00014856
1,4,-0.00237745,-0.01106221,-0.00024379,-0.00210838,-0.01188404,-0.00021403
1,5,-0.00149501,0.01769177,0.00059972,-0.00150812,0.01756207,0.0007385
1,6,-0.00974489,-0.01074945,0.00038347,-0.01139084,-0.0106449,0.0002441
1,7,0.01470496,0.00516375,-0.00019319,0.01338924,0.00467763,-0.0004096
1,8,0.01042944,-0.00967535,-0.00075798,0.01235784,-0.00909164,-0.00059738
1,9,-0.01193282,0.00982938,-0.00012068,-0.01046349,0.00890509,0.00032735
1,10,-0.00608694,0.00193594,-0.0000644,-0.00688776,0.00149135,-0.00045603
1,11,-0.00745886,0.00008226,-0.0000042,-0.00624569,0.00039501,-0.00042097
1,12,-0.00889261,-0.01237089,0.00023268,-0.00859423,-0.01183721,0.00024908
1,13,0.00501828,0.01086438,-0.00064337,0.00416671,0.01140316,-0.00047835
1,14,-0.01537382,-0.00180717,-0.00019561,-0.01613405,-0.00252736,-0.00030474
1,15,0.01450496,0.01702816,0.00016652,0.0143218,0.01621146,0.0001111
1,16,0.01855446,-0.00882794,0.00042054,0.01793808,-0.00823521,0.00040632
1,17,0.01688954,-0.01240631,0.00026964,0.01695784,-0.01161011,0.00068911
2,1,-0.01715241,0.0215251,-0.00011102,-0.01768089,0.02132248,-0.0005637
2,2,-0.00799934,-0.01797905,-0.00046327,-0.00698287,-0.01782063,0.00000117
2,3,0.00213604,0.00526272,0.00058388,0.00174021,0.00546871,0.00119075
2,4,0.00828651,-0.01106817,0.00060685,0.00762919,-0.01153901,-0.0000272
2,5,-0.00898454,0.00203754,-0.00040171,-0.00788359,0.00214778,-0.00060452
2,6,0.00317485,0.00530028,-0.00012948,0.00173608,0.00602941,0.00003926
2,7,0.01011569,0.008081,-0.0000151,0.00878238,0.00700036,-0.00004526
2,8,-0.00385263,-0.01916488,0.00008388,-0.00238887,-0.01912727,0.00018521
2,9,0.00592733,0.00798742,-0.00009349,0.00794282,0.0082785,-0.00009383
2,10,-0.00242154,-0.00176507,-0.0000482,-0.00369131,-0.00150105,-0.00007832
2,11,-0.00373212,0.00634286,-0.00008382,-0.00471835,0.0065477,-0.00004705
2,12,-0.00292435,-0.0066829,-0.00000199,-0.00285252,-0.00725395,0.00023215
2,13,-0.00098974,0.01080678,-0.00048349,-0.0015578,0.01078163,-0.00045746
2,14,0.01878399,0.0017975,0.00007605,0.01832887,0.00273169,0.00016152
2,15,-0.00169764,-0.00161735,0.00040145,-0.00245062,-0.00122064,-0.0000818
2,16,0.00805417,-0.00301637,-0.00004851,0.00869751,-0.00384575,0.00007602
2,17,-0.00672427,-0.0078474,0.00012796,-0.00465024,-0.00799996,0.00011305
3,1,-0.0006062,0.00265687,0.00016495,-0.00038002,0.00247553,0.00021106
3,2,-0.01105456,0.00693778,0.00021022,-0.01130925,0.00729268,0.0001902
3,3,-0.0171433,-0.00153937,-0.00007208,-0.01692883,-0.00157628,-0.00010337
3,4,0.00959903,-0.01448819,-0.00055574,0.00964207,-0.01503599,-0.00058733
3,5,-0.005977,0.0166312,0.00152406,-0.00680617,0.01598026,0.00173808
3,6,-0.00761476,-0.0041861,0.00036955,-0.00738537,-0.00369412,0.00020173
3,7,0.01221481,-0.00155694,-0.00069814,0.01384735,-0.00187145,-0.00095319
3,8,0.01576976,-0.01318884,-0.00107543,0.01538596,-0.01257192,-0.00078229
3,9,0.00034847,0.01081745,0.00032735,-0.00082342,0.0108511,0.00030134
3,10,-0.00986121,0.00516836,-0.00003975,-0.01058702,0.00553727,-0.00002881
3,11,-0.01044802,0.01270798,0.00044804,-0.00949391,0.01252251,0.00053581
3,12,0.01136886,0.01632907,-0.00037727,0.0113241,0.01628427,-0.00046421
3,13,0.00017086,-0.00144742,-0.00028388,-0.00045208,-0.00104671,-0.00017443
3,14,-0.00490924,-0.00435871,-0.00003087,-0.00540569,-0.00468435,0.00001882
3,15,0.01193672,-0.00400755,0.00036382,0.0126219,-0.00389327,0.00032694
3,16,0.00620577,-0.02647558,-0.00027484,0.00675038,-0.02656953,-0.00043036
4,1,-0.01981849,0.03610054,0.00098025,-0.02097992,0.0356977,0.00153971
