     Conf.     atoms         Ref. total energy(Ha)           NN total energy(Ha)     E(Ref.) - E(NN) (Ha/atom)
         1        17                -5141.06652725                -5141.06683066                    0.00001785
         2        17                -5141.06790226                -5141.06800910                    0.00000628
         3        16                -4978.69303624                -4978.69294792                   -0.00000552
         4        16                -4978.67294290                -4978.67322905                    0.00001788
         5        17                -5141.07579321                -5141.07557737                   -0.00001270
         6        17                -5141.05790081                -5141.05778045                   -0.00000708
         7        17                -5141.06627819                -5141.06622360                   -0.00000321
         8        17                -5141.06402657                -5141.06421192                    0.00001090
         9        17                -5141.06997512                -5141.07042440                    0.00002643
        10        16                -4978.68329321                -4978.68321107                   -0.00000513
        11        17                -5141.06797614                -5141.06859672                    0.00003650
        12        16                -4978.69255411                -4978.69272635                    0.00001077
        13        16                -4978.68602311                -4978.68593170                   -0.00000571
        14        16                -4978.69654416                -4978.69667801                    0.00000837
        15        16                -4978.69149281                -4978.69159422                    0.00000634
        16        16                -4978.70038083                -4978.70037149                   -0.00000058
        17        16                -4978.67995152                -4978.67960347                   -0.00002175
        18        16                -4978.69700718                -4978.69709696                    0.00000561
        19        17                -5141.07374937                -5141.07398726                    0.00001399
        20        17                -5141.05886886                -5141.05883437                   -0.00000203
        21        16                -4978.69352898                -4978.69310365                   -0.00002658
        22        16                -4978.68516935                -4978.68525785                    0.00000553
        23        17                -5141.07527767                -5141.07500406                   -0.00001609
        24        17                -5141.07746246                -5141.07788057                    0.00002459
        25        16                -4978.69039600                -4978.69072767                    0.00002073
        26        17                -5141.07142680                -5141.07113569                   -0.00001712
        27        17                -5141.06986904                -5141.06984582                   -0.00000137
        28        17                -5141.06703441                -5141.06715128                    0.00000687
        29        16                -4978.68499350                -4978.68520421                    0.00001317
        30        17                -5141.07005478                -5141.07081331                    0.00004462
        31        17                -5141.07384668                -5141.07363620                   -0.00001238
        32        17                -5141.07356090                -5141.07329225                   -0.00001580
        33        17                -5141.06894064                -5141.06863277                   -0.00001811
        34        17                -5141.07400361                -5141.07419669                    0.00001136
        35        16                -4978.68437287                -4978.68379810                   -0.00003592
        36        17                -5141.06947435                -5141.06988679                    0.00002426
        37        16                -4978.68886124                -4978.68909276                    0.00001447
        38        17                -5141.06708597                -5141.06751084                    0.00002499
        39        16                -4978.69837048                -4978.69837629                    0.00000036
        40        17                -5141.07280053                -5141.07248084                   -0.00001881
        41        17                -5141.07014048                -5141.07037530                    0.00001381
        42        16                -4978.69881948                -4978.69923938                    0.00002624
        43        17                -5141.07563908                -5141.07566231                    0.00000137
        44        16                -4978.68364668                -4978.68391528                    0.00001679
        45        16                -4978.69730626                -4978.69716818                   -0.00000863
        46        16                -4978.69307253                -4978.69324791                    0.00001096
        47        16                -4978.67986530                -4978.67992718                    0.00000387
        48        17                -5141.06545154                -5141.06560133                    0.00000881
        49        17                -5141.07229508                -5141.07232446                    0.00000173
        50        17                -5141.07392239                -5141.07401293                    0.00000533
        51        16                -4978.69937368                -4978.69899509                   -0.00002366
        52        17                -5141.06536786                -5141.06524476                   -0.00000724
        53        17                -5141.07744022                -5141.07731147                   -0.00000757
        54        16                -4978.68291645                -4978.68264537                   -0.00001694
        55        17                -5141.06440718                -5141.06431084                   -0.00000567
        56        17                -5141.06488307                -5141.06533247                    0.00002644
        57        16                -4978.69032790                -4978.69040614                    0.00000489
        58        16                -4978.68251199                -4978.68227360                   -0.00001490
        59        17                -5141.07231352                -5141.07240564                    0.00000542
        60        17                -5141.06659023                -5141.06718709                    0.00003511
        61        16                -4978.69699979                -4978.69695280                   -0.00000294
        62        16                -4978.68624202                -4978.68619536                   -0.00000292
        63        17                -5141.07264230                -5141.07269191                    0.00000292
        64        17                -5141.07232989                -5141.07216183                   -0.00000989
        65        17                -5141.07929187                -5141.07878831                   -0.00002962
        66        16                -4978.69345630                -4978.69343319                   -0.00000144
        67        16                -4978.66677113                -4978.66707044                    0.00001871
        68        16                -4978.66933938                -4978.66935258                    0.00000082
        69        16                -4978.69521805                -4978.69529187                    0.00000461
        70        17                -5141.06629241                -5141.06635621                    0.00000375
        71        17                -5141.07256935                -5141.07216974                   -0.00002351
        72        16                -4978.69074725                -4978.69042007                   -0.00002045
        73        17                -5141.06897385                -5141.06908570                    0.00000658
        74        17                -5141.07517842                -5141.07622625                    0.00006164
        75        17                -5141.07150637                -5141.07164007                    0.00000786
        76        17                -5141.05076598                -5141.05096989                    0.00001200
        77        17                -5141.07738115                -5141.07735297                   -0.00000166
        78        16                -4978.67305940                -4978.67319839                    0.00000869
        79        17                -5141.07109799                -5141.07168933                    0.00003478
        80        17                -5141.06403657                -5141.06397288                   -0.00000375
        81        16                -4978.67196500                -4978.67133771                   -0.00003921
        82        17                -5141.07509865                -5141.07516696                    0.00000402
        83        16                -4978.68697758                -4978.68686843                   -0.00000682
        84        17                -5141.05894075                -5141.05888120                   -0.00000350
        85        17                -5141.06230936                -5141.06179612                   -0.00003019
        86        17                -5141.06270533                -5141.06286769                    0.00000955
        87        17                -5141.06050433                -5141.06128433                    0.00004588
        88        17                -5141.07476870                -5141.07496261                    0.00001141
        89        17                -5141.06243023                -5141.06310292                    0.00003957
        90        17                -5141.07877281                -5141.07885501                    0.00000484
        91        17                -5141.06316685                -5141.06387046                    0.00004139
        92        16                -4978.68630896                -4978.68647980                    0.00001068
        93        16                -4978.68675463                -4978.68661311                   -0.00000885
        94        16                -4978.68413706                -4978.68405460                   -0.00000515
        95        17                -5141.06447281                -5141.06448311                    0.00000061
        96        17                -5141.06035863                -5141.06069258                    0.00001964
        97        17                -5141.05666967                -5141.05640125                   -0.00001579
        98        17                -5141.06055798                -5141.06015846                   -0.00002350
        99        16                -4978.68577536                -4978.68614633                    0.00002319
       100        17                -5141.06894351                -5141.06854808                   -0.00002326
       101        16                -4978.68710983                -4978.68720936                    0.00000622
       102        16                -4978.68436868                -4978.68456621                    0.00001235
       103        16                -4978.68144917                -4978.68148683                    0.00000235
       104        17                -5141.06771727                -5141.06774527                    0.00000165
       105        16                -4978.67908444                -4978.67917228                    0.00000549
       106        16                -4978.69060599                -4978.69037000                   -0.00001475
       107        16                -4978.67759988                -4978.67788256                    0.00001767
       108        17                -5141.07652295                -5141.07615545                   -0.00002162
       109        16                -4978.69258353                -4978.69256862                   -0.00000093
       110        16                -4978.68039733                -4978.68009839                   -0.00001868
       111        16                -4978.67869634                -4978.67935411                    0.00004111
       112        16                -4978.68589741                -4978.68575497                   -0.00000890
       113        17                -5141.05838256                -5141.05796870                   -0.00002434
       114        17                -5141.06827811                -5141.06769732                   -0.00003416
       115        16                -4978.68534060                -4978.68528461                   -0.00000350
       116        17                -5141.06183348                -5141.06330189                    0.00008638
       117        16                -4978.68760940                -4978.68760170                   -0.00000048
       118        17                -5141.07689202                -5141.07726803                    0.00002212
       119        16                -4978.68798268                -4978.68802118                    0.00000241
       120        17                -5141.07489535                -5141.07458370                   -0.00001833
       121        17                -5141.06779738                -5141.06778801                   -0.00000055
       122        16                -4978.67476660                -4978.67481273                    0.00000288
       123        17                -5141.06775519                -5141.06796065                    0.00001209
