Conf.,atom,element,Ref. charge(e),NN charge(e)
1,1,11,0.4911469,0.48258368
1,2,17,-0.27320071,-0.32398074
1,3,17,-0.30692808,-0.29900892
1,4,11,0.40323001,0.39929463
1,5,11,0.37434179,0.3757508
1,6,17,-0.30315362,-0.29200324
1,7,17,-0.29531816,-0.3008379
1,8,11,0.38232644,0.38148932
1,9,11,0.39297457,0.39305336
1,10,17,-0.30589095,-0.30027154
1,11,17,-0.30617041,-0.29400495
1,12,11,0.38739912,0.39501577
1,13,17,-0.31832018,-0.29431282
1,14,17,-0.26074324,-0.2593071
1,15,11,0.55476764,0.55291728
1,16,11,0.38353887,0.38362235
2,1,11,0.48645686,0.47588652
2,2,17,-0.2757333,-0.31611072
2,3,17,-0.29909174,-0.29226641
2,4,11,0.37519649,0.37075441
2,5,11,0.38368191,0.38441408
2,6,17,-0.29771477,-0.28799867
2,7,17,-0.29645095,-0.29285349
2,8,11,0.39534627,0.39806009
2,9,11,0.37799476,0.37988868
2,10,17,-0.30134988,-0.29462088
2,11,17,-0.29785654,-0.30434215
2,12,11,0.39909538,0.40929658
2,13,17,-0.31436848,-0.29298938
2,14,17,-0.26208856,-0.26532985
2,15,11,0.52942887,0.53174462
2,16,11,0.39745363,0.39646657
3,1,11,0.52657359,0.54208047
3,2,17,-0.47511263,-0.41189521
3,3,17,-0.38826821,-0.37773355
3,4,11,0.35073094,0.36469908
3,5,11,0.35397825,0.35307377
3,6,17,-0.35550036,-0.36404815
3,7,17,-0.35052546,-0.3630234
3,8,11,0.35957524,0.35437938
3,9,11,0.37668273,0.37256249
3,10,17,-0.33892722,-0.35888575
3,11,17,-0.35795794,-0.36347726
3,12,11,0.70880967,0.70858955
3,13,11,0.35626162,0.35309773
3,14,17,-0.33760084,-0.35866469
3,15,17,-0.34438046,-0.34432113
3,16,11,0.53663407,0.52735066
3,17,11,0.37902693,0.36621599
4,1,11,0.44735683,0.45768553
4,2,17,-0.4457096,-0.39505568
4,3,17,-0.36455551,-0.36868545
4,4,11,0.35435251,0.35868976
4,5,11,0.38601849,0.38197963
4,6,17,-0.36007611,-0.36284711
4,7,17,-0.34353567,-0.35581034
4,8,11,0.36462859,0.36479679
4,9,11,0.35968011,0.35596306
4,10,17,-0.3604099,-0.36452816
4,11,17,-0.36805973,-0.37482723
4,12,11,0.71978442,0.72127989
4,13,11,0.38585215,0.38603074
4,14,17,-0.34733789,-0.36714114
4,15,17,-0.3417701,-0.34043569
4,16,11,0.5164652,0.51335296
4,17,11,0.39731613,0.38955244
5,1,11,0.5493348,0.54522381
5,2,17,-0.28129046,-0.34363185
5,3,17,-0.31502515,-0.30628244
5,4,11,0.38730016,0.38734481
5,5,11,0.38032756,0.37678134
5,6,17,-0.29967997,-0.30047017
5,7,17,-0.31177031,-0.30054254
5,8,11,0.38040027,0.38121262
5,9,11,0.40454113,0.40650136
5,10,17,-0.31309552,-0.30330628
5,11,17,-0.31341256,-0.30213548
5,12,11,0.39731759,0.40348017
5,13,17,-0.31614239,-0.29906645
5,14,17,-0.26394421,-0.26239681
5,15,11,0.52010066,0.52050934
5,16,11,0.39503845,0.39677857
6,1,11,0.46495455,0.47406774
6,2,17,-0.44174602,-0.3914132
6,3,17,-0.34854093,-0.36245536
6,4,11,0.35104602,0.35304932
6,5,11,0.35392449,0.35194082
6,6,17,-0.35388678,-0.35920746
6,7,17,-0.36138764,-0.36445081
6,8,11,0.36943768,0.36907799
6,9,11,0.36774746,0.36876171
6,10,17,-0.36794991,-0.36650232
6,11,17,-0.38554512,-0.37519662
6,12,11,0.70289634,0.70450572
6,13,11,0.37575211,0.37495024
6,14,17,-0.3300419,-0.3591273
6,15,17,-0.33709847,-0.33800388
