Conf.,atoms,Ref. total energy(Ha),NN total energy(Ha),E(Ref.) - E(NN) (Ha/atom)
1,16,-4978.676199,-4978.676227,0.00000177
2,16,-4978.669453,-4978.669227,-0.00001407
3,17,-5141.054437,-5141.054735,0.0000175
4,17,-5141.064554,-5141.064691,0.00000804
5,16,-4978.692158,-4978.692264,0.00000665
6,17,-5141.05907,-5141.058967,-0.00000608
7,16,-4978.694284,-4978.694191,-0.00000581
8,17,-5141.074433,-5141.074471,0.00000227
9,16,-4978.69399,-4978.694024,0.00000212
10,17,-5141.06659,-5141.066701,0.0000065
11,16,-4978.679071,-4978.679179,0.00000676
12,16,-4978.689016,-4978.689024,0.00000048
13,17,-5141.061204,-5141.061105,-0.0000058
14,16,-4978.689247,-4978.689088,-0.00000996
15,16,-4978.694008,-4978.693917,-0.0000057
16,16,-4978.686135,-4978.686215,0.000005
17,17,-5141.0644,-5141.064468,0.00000401
18,17,-5141.058857,-5141.059088,0.00001355
19,17,-5141.066203,-5141.066256,0.00000314
20,16,-4978.681997,-4978.682245,0.00001549
21,16,-4978.68521,-4978.685534,0.00002024
22,16,-4978.685982,-4978.685839,-0.00000895
23,16,-4978.693071,-4978.693218,0.00000916
24,16,-4978.69613,-4978.695838,-0.00001826
25,17,-5141.067628,-5141.067403,-0.00001326
26,16,-4978.681893,-4978.681824,-0.00000427
27,17,-5141.067806,-5141.067491,-0.00001856
28,16,-4978.679698,-4978.679356,-0.00002138
29,16,-4978.69165,-4978.691681,0.00000191
30,17,-5141.074421,-5141.074061,-0.00002118
31,16,-4978.697735,-4978.697666,-0.00000432
32,16,-4978.695273,-4978.695059,-0.00001339
33,16,-4978.69481,-4978.694661,-0.00000935
34,16,-4978.679072,-4978.678882,-0.00001188
35,17,-5141.05954,-5141.059071,-0.0000276
36,16,-4978.676991,-4978.677027,0.00000224
37,16,-4978.673835,-4978.673603,-0.00001451
38,16,-4978.699554,-4978.699404,-0.00000934
39,17,-5141.066569,-5141.066724,0.00000911
40,17,-5141.057163,-5141.057271,0.00000633
41,17,-5141.063862,-5141.06391,0.0000028
42,16,-4978.673177,-4978.673309,0.0000083
43,17,-5141.067911,-5141.068029,0.00000693
44,17,-5141.06627,-5141.066437,0.00000979
45,16,-4978.693746,-4978.693471,-0.00001717
46,16,-4978.67927,-4978.679272,0.00000015
47,16,-4978.674906,-4978.67504,0.00000839
48,16,-4978.68048,-4978.68031,-0.00001064
49,17,-5141.05099,-5141.050873,-0.00000688
50,17,-5141.065767,-5141.065633,-0.00000789
51,16,-4978.684732,-4978.684476,-0.00001597
52,16,-4978.682932,-4978.682872,-0.00000375
53,17,-5141.069555,-5141.069712,0.00000926
54,17,-5141.066808,-5141.066842,0.00000203
55,16,-4978.696544,-4978.696575,0.00000194
56,16,-4978.687771,-4978.687957,0.00001167
57,17,-5141.063347,-5141.062853,-0.00002908
58,16,-4978.677877,-4978.678078,0.00001256
59,17,-5141.064308,-5141.063913,-0.00002323
60,16,-4978.692427,-4978.692419,-0.00000053
61,16,-4978.691005,-4978.69114,0.00000844
62,16,-4978.685542,-4978.685849,0.00001914
63,17,-5141.072564,-5141.072461,-0.00000607
64,17,-5141.059253,-5141.058965,-0.00001699
65,16,-4978.672751,-4978.67281,0.00000372
66,17,-5141.067082,-5141.067143,0.00000356
67,16,-4978.678872,-4978.678858,-0.00000085
68,17,-5141.062407,-5141.062144,-0.00001545
69,17,-5141.058259,-5141.058624,0.00002148
70,17,-5141.072033,-5141.071965,-0.00000404
71,16,-4978.683731,-4978.683521,-0.00001316
72,16,-4978.676607,-4978.676569,-0.0000024
73,17,-5141.057069,-5141.057207,0.00000812
74,16,-4978.694028,-4978.694347,0.00001999
75,16,-4978.684663,-4978.684528,-0.00000848
76,16,-4978.673023,-4978.673325,0.00001888
77,16,-4978.680429,-4978.680744,0.00001969
78,16,-4978.692175,-4978.692052,-0.00000765
79,16,-4978.680715,-4978.680896,0.0000113
80,17,-5141.077798,-5141.077643,-0.00000912
81,16,-4978.685697,-4978.685646,-0.00000318
82,16,-4978.687271,-4978.68751,0.000015
83,16,-4978.698751,-4978.698482,-0.00001679
84,16,-4978.677462,-4978.677552,0.0000056
85,17,-5141.073051,-5141.072852,-0.00001176
86,16,-4978.692886,-4978.69296,0.00000464
87,17,-5141.071616,-5141.071325,-0.00001707
88,17,-5141.081872,-5141.081321,-0.00003241
89,16,-4978.673933,-4978.674166,0.00001456
90,16,-4978.683944,-4978.684254,0.00001938
91,16,-4978.691202,-4978.690868,-0.00002089
92,17,-5141.070224,-5141.069676,-0.00003222
93,17,-5141.075316,-5141.075324,0.0000005
94,17,-5141.060959,-5141.060951,-0.00000046
95,17,-5141.060353,-5141.060108,-0.00001442
96,16,-4978.687393,-4978.687636,0.00001519
97,17,-5141.07254,-5141.072951,0.00002418
98,16,-4978.68633,-4978.686,-0.00002057
99,16,-4978.692324,-4978.692278,-0.0000029
100,16,-4978.693089,-4978.693223,0.00000839
101,16,-4978.694205,-4978.694047,-0.00000984
102,16,-4978.676836,-4978.677015,0.00001123
103,16,-4978.68151,-4978.681928,0.00002612
104,17,-5141.071021,-5141.070688,-0.00001956
105,17,-5141.068138,-5141.068297,0.00000935
106,16,-4978.683306,-4978.683496,0.0000119
107,17,-5141.0626,-5141.062607,0.00000042
108,16,-4978.696866,-4978.696893,0.0000017
109,16,-4978.68062,-4978.680415,-0.0000128
110,17,-5141.079171,-5141.078969,-0.00001189
111,17,-5141.063141,-5141.063095,-0.00000274
112,16,-4978.698352,-4978.698501,0.00000929
113,16,-4978.696596,-4978.696329,-0.00001671
114,16,-4978.681771,-4978.681759,-0.00000078
115,16,-4978.686568,-4978.686559,-0.0000006
116,17,-5141.077865,-5141.077779,-0.00000508
117,16,-4978.682989,-4978.6828,-0.0000118
118,17,-5141.069217,-5141.069421,0.00001198
119,17,-5141.076084,-5141.075641,-0.00002606
120,17,-5141.080866,-5141.080528,-0.00001987
121,17,-5141.074225,-5141.074035,-0.00001118
122,16,-4978.684981,-4978.684911,-0.00000437
123,17,-5141.078144,-5141.077618,-0.00003094
124,17,-5141.070683,-5141.07106,0.00002216
125,16,-4978.691664,-4978.691453,-0.00001317
126,17,-5141.065062,-5141.065381,0.0000188
127,17,-5141.068734,-5141.06865,-0.00000496
128,16,-4978.691439,-4978.69167,0.00001445
129,16,-4978.687627,-4978.687793,0.00001034
130,17,-5141.069448,-5141.069137,-0.00001833
131,16,-4978.692853,-4978.693093,0.00001503
132,16,-4978.683551,-4978.68364,0.00000561
133,16,-4978.687045,-4978.687184,0.00000868
134,17,-5141.06731,-5141.066812,-0.00002929
135,17,-5141.069695,-5141.069784,0.0000052
136,17,-5141.065789,-5141.065566,-0.00001309
137,16,-4978.686952,-4978.686795,-0.0000098
138,16,-4978.691407,-4978.691627,0.00001374
139,17,-5141.069173,-5141.068872,-0.00001768
140,16,-4978.684003,-4978.684235,0.00001449
141,17,-5141.071941,-5141.07181,-0.00000774
142,17,-5141.076495,-5141.076352,-0.00000837
143,16,-4978.691174,-4978.691333,0.00000994
144,17,-5141.065366,-5141.06547,0.0000061
145,17,-5141.065052,-5141.064974,-0.0000046
146,16,-4978.68414,-4978.684144,0.00000023
147,17,-5141.072411,-5141.072363,-0.00000282
148,17,-5141.055521,-5141.055728,0.00001217
149,16,-4978.690154,-4978.690022,-0.00000829
150,16,-4978.68457,-4978.684994,0.00002645
151,17,-5141.070189,-5141.069702,-0.00002866
152,16,-4978.676406,-4978.676229,-0.00001106
153,17,-5141.069106,-5141.069191,0.00000504
154,16,-4978.688304,-4978.688222,-0.00000515
155,16,-4978.686064,-4978.686429,0.00002279
156,16,-4978.680218,-4978.680278,0.00000376
157,17,-5141.073857,-5141.07448,0.00003665
158,16,-4978.68751,-4978.687481,-0.00000181
159,17,-5141.059694,-5141.059408,-0.00001685
160,17,-5141.067217,-5141.066981,-0.00001388
161,17,-5141.063612,-5141.064219,0.0000357
162,16,-4978.691687,-4978.69182,0.00000832
163,16,-4978.69545,-4978.695445,-0.00000031
164,16,-4978.692375,-4978.691846,-0.00003305
165,16,-4978.684436,-4978.684621,0.00001156
166,16,-4978.693101,-4978.692798,-0.00001893
167,16,-4978.671016,-4978.67087,-0.00000909
168,16,-4978.691801,-4978.692005,0.00001278
169,17,-5141.063148,-5141.063152,0.00000026
170,17,-5141.063475,-5141.063451,-0.00000142
171,16,-4978.692244,-4978.692512,0.00001675
172,17,-5141.073083,-5141.072661,-0.00002484
173,16,-4978.697443,-4978.697311,-0.00000824
174,16,-4978.69826,-4978.698438,0.00001113
175,17,-5141.078169,-5141.078291,0.00000721
176,17,-5141.066123,-5141.065853,-0.00001587
177,17,-5141.074903,-5141.074754,-0.00000876
178,16,-4978.67709,-4978.676957,-0.00000829
179,17,-5141.077374,-5141.07742,0.00000269
