     Conf.     atoms         Ref. total energy(Ha)           NN total energy(Ha)     E(Ref.) - E(NN) (Ha/atom)
         1        16                -4978.67619878                -4978.67622711                    0.00000177
         2        16                -4978.66945254                -4978.66922747                   -0.00001407
         3        17                -5141.05443718                -5141.05473462                    0.00001750
         4        17                -5141.06455395                -5141.06469068                    0.00000804
         5        16                -4978.69215795                -4978.69226436                    0.00000665
         6        17                -5141.05907048                -5141.05896706                   -0.00000608
         7        16                -4978.69428368                -4978.69419078                   -0.00000581
         8        17                -5141.07443278                -5141.07447143                    0.00000227
         9        16                -4978.69398997                -4978.69402390                    0.00000212
        10        17                -5141.06659040                -5141.06670091                    0.00000650
        11        16                -4978.67907088                -4978.67917904                    0.00000676
        12        16                -4978.68901616                -4978.68902385                    0.00000048
        13        17                -5141.06120365                -5141.06110498                   -0.00000580
        14        16                -4978.68924700                -4978.68908771                   -0.00000996
        15        16                -4978.69400814                -4978.69391688                   -0.00000570
        16        16                -4978.68613492                -4978.68621486                    0.00000500
        17        17                -5141.06440026                -5141.06446838                    0.00000401
        18        17                -5141.05885710                -5141.05908751                    0.00001355
        19        17                -5141.06620283                -5141.06625623                    0.00000314
        20        16                -4978.68199674                -4978.68224461                    0.00001549
        21        16                -4978.68521034                -4978.68553414                    0.00002024
        22        16                -4978.68598198                -4978.68583875                   -0.00000895
        23        16                -4978.69307125                -4978.69321776                    0.00000916
        24        16                -4978.69613030                -4978.69583818                   -0.00001826
        25        17                -5141.06762828                -5141.06740288                   -0.00001326
        26        16                -4978.68189272                -4978.68182444                   -0.00000427
        27        17                -5141.06780612                -5141.06749056                   -0.00001856
        28        16                -4978.67969819                -4978.67935616                   -0.00002138
        29        16                -4978.69165023                -4978.69168086                    0.00000191
        30        17                -5141.07442090                -5141.07406081                   -0.00002118
        31        16                -4978.69773503                -4978.69766585                   -0.00000432
        32        16                -4978.69527310                -4978.69505892                   -0.00001339
        33        16                -4978.69481048                -4978.69466088                   -0.00000935
        34        16                -4978.67907222                -4978.67888207                   -0.00001188
        35        17                -5141.05953973                -5141.05907055                   -0.00002760
        36        16                -4978.67699118                -4978.67702701                    0.00000224
        37        16                -4978.67383519                -4978.67360302                   -0.00001451
        38        16                -4978.69955358                -4978.69940421                   -0.00000934
        39        17                -5141.06656918                -5141.06672397                    0.00000911
        40        17                -5141.05716338                -5141.05727098                    0.00000633
        41        17                -5141.06386229                -5141.06390984                    0.00000280
        42        16                -4978.67317665                -4978.67330947                    0.00000830
        43        17                -5141.06791126                -5141.06802903                    0.00000693
        44        17                -5141.06627040                -5141.06643687                    0.00000979
        45        16                -4978.69374592                -4978.69347115                   -0.00001717
        46        16                -4978.67926984                -4978.67927218                    0.00000015
        47        16                -4978.67490574                -4978.67504003                    0.00000839
        48        16                -4978.68047999                -4978.68030969                   -0.00001064
        49        17                -5141.05098972                -5141.05087273                   -0.00000688
        50        17                -5141.06576705                -5141.06563296                   -0.00000789
        51        16                -4978.68473176                -4978.68447619                   -0.00001597
        52        16                -4978.68293190                -4978.68287183                   -0.00000375
        53        17                -5141.06955459                -5141.06971201                    0.00000926
        54        17                -5141.06680777                -5141.06684232                    0.00000203
        55        16                -4978.69654410                -4978.69657506                    0.00000194
        56        16                -4978.68777074                -4978.68795747                    0.00001167
        57        17                -5141.06334728                -5141.06285285                   -0.00002908
        58        16                -4978.67787679                -4978.67807770                    0.00001256
        59        17                -5141.06430791                -5141.06391306                   -0.00002323
        60        16                -4978.69242744                -4978.69241903                   -0.00000053
        61        16                -4978.69100458                -4978.69113963                    0.00000844
        62        16                -4978.68554233                -4978.68584862                    0.00001914
        63        17                -5141.07256448                -5141.07246135                   -0.00000607
        64        17                -5141.05925335                -5141.05896453                   -0.00001699
        65        16                -4978.67275090                -4978.67281036                    0.00000372
        66        17                -5141.06708243                -5141.06714291                    0.00000356
        67        16                -4978.67887184                -4978.67885825                   -0.00000085
        68        17                -5141.06240696                -5141.06214438                   -0.00001545
        69        17                -5141.05825927                -5141.05862438                    0.00002148
        70        17                -5141.07203338                -5141.07196467                   -0.00000404
        71        16                -4978.68373132                -4978.68352084                   -0.00001316
        72        16                -4978.67660725                -4978.67656883                   -0.00000240
        73        17                -5141.05706929                -5141.05720725                    0.00000812
        74        16                -4978.69402757                -4978.69434734                    0.00001999
        75        16                -4978.68466324                -4978.68452750                   -0.00000848
        76        16                -4978.67302325                -4978.67332541                    0.00001888
        77        16                -4978.68042862                -4978.68074361                    0.00001969
        78        16                -4978.69217465                -4978.69205226                   -0.00000765
        79        16                -4978.68071481                -4978.68089558                    0.00001130
        80        17                -5141.07779829                -5141.07764324                   -0.00000912
        81        16                -4978.68569711                -4978.68564621                   -0.00000318
        82        16                -4978.68727054                -4978.68751049                    0.00001500
        83        16                -4978.69875054                -4978.69848191                   -0.00001679
        84        16                -4978.67746237                -4978.67755190                    0.00000560
        85        17                -5141.07305147                -5141.07285159                   -0.00001176
        86        16                -4978.69288592                -4978.69296019                    0.00000464
        87        17                -5141.07161560                -5141.07132543                   -0.00001707
        88        17                -5141.08187164                -5141.08132065                   -0.00003241
        89        16                -4978.67393277                -4978.67416572                    0.00001456
        90        16                -4978.68394393                -4978.68425408                    0.00001938
        91        16                -4978.69120195                -4978.69086767                   -0.00002089
        92        17                -5141.07022358                -5141.06967586                   -0.00003222
        93        17                -5141.07531552                -5141.07532394                    0.00000050
        94        17                -5141.06095885                -5141.06095105                   -0.00000046
        95        17                -5141.06035301                -5141.06010788                   -0.00001442
        96        16                -4978.68739345                -4978.68763648                    0.00001519
        97        17                -5141.07254031                -5141.07295133                    0.00002418
        98        16                -4978.68632965                -4978.68600048                   -0.00002057
        99        16                -4978.69232401                -4978.69227763                   -0.00000290
       100        16                -4978.69308879                -4978.69322299                    0.00000839
       101        16                -4978.69420459                -4978.69404720                   -0.00000984
       102        16                -4978.67683562                -4978.67701526                    0.00001123
       103        16                -4978.68150993                -4978.68192780                    0.00002612
       104        17                -5141.07102096                -5141.07068840                   -0.00001956
       105        17                -5141.06813768                -5141.06829664                    0.00000935
       106        16                -4978.68330550                -4978.68349589                    0.00001190
       107        17                -5141.06259955                -5141.06260664                    0.00000042
       108        16                -4978.69686605                -4978.69689318                    0.00000170
       109        16                -4978.68061960                -4978.68041479                   -0.00001280
       110        17                -5141.07917114                -5141.07896899                   -0.00001189
       111        17                -5141.06314131                -5141.06309481                   -0.00000274
       112        16                -4978.69835232                -4978.69850093                    0.00000929
       113        16                -4978.69659593                -4978.69632851                   -0.00001671
       114        16                -4978.68177139                -4978.68175894                   -0.00000078
       115        16                -4978.68656838                -4978.68655879                   -0.00000060
       116        17                -5141.07786529                -5141.07777897                   -0.00000508
       117        16                -4978.68298866                -4978.68279979                   -0.00001180
       118        17                -5141.06921746                -5141.06942115                    0.00001198
       119        17                -5141.07608384                -5141.07564076                   -0.00002606
       120        17                -5141.08086603                -5141.08052820                   -0.00001987
       121        17                -5141.07422486                -5141.07403483                   -0.00001118
       122        16                -4978.68498133                -4978.68491139                   -0.00000437
       123        17                -5141.07814438                -5141.07761834                   -0.00003094
       124        17                -5141.07068288                -5141.07105961                    0.00002216
       125        16                -4978.69166352                -4978.69145283                   -0.00001317
       126        17                -5141.06506169                -5141.06538136                    0.00001880
       127        17                -5141.06873441                -5141.06865009                   -0.00000496
       128        16                -4978.69143903                -4978.69167020                    0.00001445
       129        16                -4978.68762713                -4978.68779252                    0.00001034
       130        17                -5141.06944822                -5141.06913666                   -0.00001833
       131        16                -4978.69285268                -4978.69309321                    0.00001503
       132        16                -4978.68355052                -4978.68364026                    0.00000561
       133        16                -4978.68704534                -4978.68718415                    0.00000868
       134        17                -5141.06731015                -5141.06681221                   -0.00002929
       135        17                -5141.06969549                -5141.06978389                    0.00000520
       136        17                -5141.06578863                -5141.06556603                   -0.00001309
       137        16                -4978.68695192                -4978.68679517                   -0.00000980
       138        16                -4978.69140723                -4978.69162704                    0.00001374
       139        17                -5141.06917267                -5141.06887206                   -0.00001768
       140        16                -4978.68400342                -4978.68423518                    0.00001449
       141        17                -5141.07194122                -5141.07180966                   -0.00000774
       142        17                -5141.07649459                -5141.07635232                   -0.00000837
       143        16                -4978.69117363                -4978.69133262                    0.00000994
       144        17                -5141.06536606                -5141.06546972                    0.00000610
       145        17                -5141.06505243                -5141.06497428                   -0.00000460
       146        16                -4978.68414004                -4978.68414370                    0.00000023
       147        17                -5141.07241123                -5141.07236324                   -0.00000282
       148        17                -5141.05552096                -5141.05572788                    0.00001217
       149        16                -4978.69015431                -4978.69002163                   -0.00000829
       150        16                -4978.68457044                -4978.68499359                    0.00002645
       151        17                -5141.07018882                -5141.06970154                   -0.00002866
       152        16                -4978.67640593                -4978.67622902                   -0.00001106
       153        17                -5141.06910587                -5141.06919146                    0.00000504
       154        16                -4978.68830416                -4978.68822176                   -0.00000515
       155        16                -4978.68606443                -4978.68642907                    0.00002279
       156        16                -4978.68021833                -4978.68027846                    0.00000376
       157        17                -5141.07385730                -5141.07448035                    0.00003665
       158        16                -4978.68751009                -4978.68748114                   -0.00000181
       159        17                -5141.05969423                -5141.05940785                   -0.00001685
       160        17                -5141.06721666                -5141.06698061                   -0.00001388
       161        17                -5141.06361244                -5141.06421933                    0.00003570
       162        16                -4978.69168669                -4978.69181982                    0.00000832
       163        16                -4978.69545004                -4978.69544510                   -0.00000031
       164        16                -4978.69237459                -4978.69184577                   -0.00003305
       165        16                -4978.68443600                -4978.68462089                    0.00001156
       166        16                -4978.69310117                -4978.69279833                   -0.00001893
       167        16                -4978.67101558                -4978.67087019                   -0.00000909
       168        16                -4978.69180085                -4978.69200526                    0.00001278
       169        17                -5141.06314801                -5141.06315239                    0.00000026
       170        17                -5141.06347537                -5141.06345119                   -0.00000142
       171        16                -4978.69224379                -4978.69251171                    0.00001675
       172        17                -5141.07308288                -5141.07266058                   -0.00002484
       173        16                -4978.69744317                -4978.69731134                   -0.00000824
       174        16                -4978.69826012                -4978.69843826                    0.00001113
       175        17                -5141.07816880                -5141.07829135                    0.00000721
       176        17                -5141.06612252                -5141.06585278                   -0.00001587
       177        17                -5141.07490280                -5141.07475389                   -0.00000876
       178        16                -4978.67708987                -4978.67695720                   -0.00000829
       179        17                -5141.07737376                -5141.07741950                    0.00000269
       180        17                -5141.07498986                -5141.07499542                    0.00000033
       181        17                -5141.06989208                -5141.06941318                   -0.00002817
       182        17                -5141.06169434                -5141.06180409                    0.00000646
       183        17                -5141.07187715                -5141.07217583                    0.00001757
       184        16                -4978.68591704                -4978.68586075                   -0.00000352
       185        17                -5141.07321619                -5141.07351821                    0.00001777
       186        17                -5141.06215205                -5141.06191430                   -0.00001399
       187        16                -4978.69736674                -4978.69716441                   -0.00001265
       188        17                -5141.06671820                -5141.06674791                    0.00000175
       189        17                -5141.07031161                -5141.07039713                    0.00000503
       190        17                -5141.06483861                -5141.06493312                    0.00000556
       191        17                -5141.06716708                -5141.06707480                   -0.00000543
       192        16                -4978.69468381                -4978.69458363                   -0.00000626
       193        17                -5141.07278840                -5141.07296778                    0.00001055
       194        17                -5141.07440539                -5141.07450946                    0.00000612
       195        17                -5141.06593595                -5141.06686829                    0.00005484
       196        17                -5141.06732211                -5141.06754740                    0.00001325
       197        16                -4978.68758430                -4978.68762043                    0.00000226
       198        16                -4978.68305639                -4978.68310299                    0.00000291
       199        16                -4978.68998519                -4978.69014091                    0.00000973
       200        17                -5141.06227071                -5141.06310286                    0.00004895
       201        16                -4978.68285145                -4978.68294204                    0.00000566
       202        16                -4978.68532588                -4978.68526453                   -0.00000383
       203        16                -4978.68116809                -4978.68121748                    0.00000309
       204        16                -4978.68473029                -4978.68464530                   -0.00000531
       205        17                -5141.07423261                -5141.07420549                   -0.00000160
       206        16                -4978.69661386                -4978.69666112                    0.00000295
       207        16                -4978.68507438                -4978.68504061                   -0.00000211
       208        16                -4978.68316317                -4978.68304490                   -0.00000739
       209        16                -4978.67387744                -4978.67408849                    0.00001319
       210        17                -5141.07193617                -5141.07166759                   -0.00001580
       211        16                -4978.68920188                -4978.68894542                   -0.00001603
       212        17                -5141.06803187                -5141.06821881                    0.00001100
       213        17                -5141.07029473                -5141.07000721                   -0.00001691
       214        16                -4978.67669156                -4978.67694771                    0.00001601
       215        16                -4978.68580542                -4978.68586146                    0.00000350
       216        16                -4978.68951366                -4978.68999473                    0.00003007
       217        17                -5141.07363759                -5141.07345383                   -0.00001081
       218        16                -4978.68330004                -4978.68305254                   -0.00001547
       219        16                -4978.68137020                -4978.68105219                   -0.00001988
       220        16                -4978.68570636                -4978.68575830                    0.00000325
       221        16                -4978.67634180                -4978.67615667                   -0.00001157
       222        17                -5141.06890124                -5141.06850824                   -0.00002312
       223        16                -4978.70059501                -4978.70094886                    0.00002212
       224        17                -5141.07272684                -5141.07245329                   -0.00001609
       225        16                -4978.68178428                -4978.68206610                    0.00001761
       226        17                -5141.06470946                -5141.06496687                    0.00001514
       227        16                -4978.68985219                -4978.68948012                   -0.00002325
       228        17                -5141.06834565                -5141.06790033                   -0.00002620
       229        16                -4978.68297914                -4978.68303112                    0.00000325
       230        17                -5141.06800266                -5141.06829441                    0.00001716
       231        17                -5141.06736748                -5141.06725652                   -0.00000653
       232        17                -5141.06682375                -5141.06780848                    0.00005792
       233        16                -4978.69605459                -4978.69602235                   -0.00000201
       234        16                -4978.68109419                -4978.68095623                   -0.00000862
       235        17                -5141.06057332                -5141.06036955                   -0.00001199
       236        16                -4978.68150104                -4978.68185646                    0.00002221
       237        17                -5141.07119134                -5141.07093705                   -0.00001496
       238        16                -4978.68554483                -4978.68544975                   -0.00000594
       239        16                -4978.69245789                -4978.69247530                    0.00000109
       240        17                -5141.06835870                -5141.06793598                   -0.00002487
       241        16                -4978.68180378                -4978.68183097                    0.00000170
       242        17                -5141.06267620                -5141.06301642                    0.00002001
       243        16                -4978.67883012                -4978.67886638                    0.00000227
       244        17                -5141.07747213                -5141.07728207                   -0.00001118
       245        16                -4978.69210222                -4978.69211530                    0.00000082
       246        17                -5141.07024451                -5141.07032616                    0.00000480
       247        16                -4978.68956437                -4978.68989041                    0.00002038
       248        16                -4978.68114141                -4978.68137150                    0.00001438
       249        17                -5141.05441420                -5141.05412621                   -0.00001694
       250        16                -4978.69254476                -4978.69241090                   -0.00000837
       251        16                -4978.68338247                -4978.68334580                   -0.00000229
       252        17                -5141.06128995                -5141.06140245                    0.00000662
       253        17                -5141.07177656                -5141.07143164                   -0.00002029
       254        16                -4978.68913121                -4978.68868784                   -0.00002771
