Conf.,atom,element,Ref. charge(e),NN charge(e)
1,1,47,-0.4066619,-0.40042987
1,2,47,-0.40394991,-0.39645843
1,3,47,-0.1893882,-0.2031117
2,1,47,-0.39681428,-0.40263279
2,2,47,-0.4465593,-0.43967932
2,3,47,-0.15662642,-0.15768788
3,1,47,0.35299414,0.35694815
3,2,47,0.34059562,0.34267025
3,3,47,0.30641024,0.3003816
4,1,47,-0.40402548,-0.41175472
4,2,47,-0.40373737,-0.41138803
4,3,47,-0.19223716,-0.17685724
5,1,47,-0.41362297,-0.40737705
5,2,47,-0.41533374,-0.40977069
5,3,47,-0.17104329,-0.18285225
6,1,47,0.3181852,0.31514958
6,2,47,0.35717946,0.36235757
6,3,47,0.32463535,0.32249285
7,1,47,-0.40823269,-0.42031848
7,2,47,-0.4448316,-0.4520868
7,3,47,-0.1469357,-0.12759472
8,1,47,-0.40127862,-0.40639438
8,2,47,-0.43301942,-0.42853648
8,3,47,-0.16570196,-0.16506914
9,1,47,-0.4103035,-0.41298186
9,2,47,-0.40955728,-0.41193679
9,3,47,-0.18013921,-0.17508135
10,1,47,0.3263263,0.32792468
10,2,47,0.33665506,0.33588222
10,3,47,0.33701865,0.33619311
11,1,47,-0.41557516,-0.41891842
11,2,47,-0.42240235,-0.42649289
11,3,47,-0.16202249,-0.1545887
12,1,47,0.32104952,0.31220454
12,2,47,0.28907903,0.28992126
12,3,47,0.38987145,0.3978742
13,1,47,0.32514785,0.3208709
13,2,47,0.32549454,0.32144026
13,3,47,0.3493576,0.35768885
14,1,47,-0.41084832,-0.39939415
14,2,47,-0.40417178,-0.39086741
14,3,47,-0.1849799,-0.20973844
15,1,47,0.32167559,0.31907314
15,2,47,0.36215252,0.36867206
15,3,47,0.31617188,0.3122548
16,1,47,-0.40890204,-0.39797087
16,2,47,-0.41004123,-0.39902845
16,3,47,-0.18105672,-0.20300069
17,1,47,-0.40877893,-0.39773834
17,2,47,-0.40537697,-0.39300513
17,3,47,-0.18584411,-0.20925653
18,1,47,-0.40416816,-0.41540957
18,2,47,-0.40443275,-0.41570329
18,3,47,-0.19139908,-0.16888713
19,1,47,0.33715059,0.3370392
19,2,47,0.33154408,0.33159044
19,3,47,0.33130532,0.33137036
20,1,47,-0.40428128,-0.41482101
20,2,47,-0.404032,-0.41454827
20,3,47,-0.19168673,-0.17063073
21,1,47,0.33938912,0.33786084
21,2,47,0.33456176,0.33381132
21,3,47,0.32604911,0.32832785
