Conf.,atoms,Ref. total energy(Ha),NN total energy(Ha),E(Ref.) - E(NN) (Ha/atom)
1,3,-16138.88219,-16138.88206,-0.00004124
2,3,-16138.85824,-16138.85842,0.00006026
3,3,-16138.58679,-16138.58679,0.00000043
4,3,-16138.884,-16138.88395,-0.00001873
5,3,-16138.87111,-16138.87101,-0.00003463
6,3,-16138.58689,-16138.58689,-0.00000126
7,3,-16138.84216,-16138.84207,-0.00003157
8,3,-16138.86626,-16138.86626,0.00000121
9,3,-16138.87738,-16138.87733,-0.00001587
10,3,-16138.58554,-16138.58553,-0.00000116
11,3,-16138.86449,-16138.86445,-0.00001535
12,3,-16138.57392,-16138.57386,-0.0000176
13,3,-16138.58843,-16138.58842,-0.0000048
14,3,-16138.87983,-16138.87987,0.0000127
15,3,-16138.5867,-16138.58671,0.00000295
16,3,-16138.87784,-16138.87796,0.00004085
17,3,-16138.88005,-16138.88,-0.00001827
18,3,-16138.88405,-16138.88403,-0.0000054
19,3,-16138.58334,-16138.58334,-0.00000107
20,3,-16138.88409,-16138.88404,-0.00001605
21,3,-16138.58647,-16138.58648,0.00000296
22,3,-16138.88043,-16138.8804,-0.0000108
23,3,-16138.58221,-16138.58217,-0.00001249
24,3,-16138.84107,-16138.841,-0.00002389
25,3,-16138.58902,-16138.58902,-0.00000188
26,3,-16138.86041,-16138.86053,0.00004242
27,3,-16138.58532,-16138.58533,0.00000483
28,3,-16138.86531,-16138.86522,-0.00003002
29,3,-16138.85999,-16138.86007,0.00002673
30,3,-16138.5868,-16138.58683,0.00000931
31,3,-16138.83767,-16138.83769,0.00000699
32,3,-16138.8633,-16138.86324,-0.00002033
33,3,-16138.5815,-16138.5815,0.00000152
34,3,-16138.585,-16138.585,0.00000126
35,3,-16138.87766,-16138.87753,-0.00004404
36,3,-16138.58593,-16138.58594,0.00000458
37,3,-16138.58731,-16138.58731,0.00000097
38,3,-16138.88151,-16138.88153,0.00000721
39,3,-16138.58788,-16138.58787,-0.00000247
40,3,-16138.58437,-16138.58437,-0.00000291
41,3,-16138.88401,-16138.88395,-0.00001864
42,3,-16138.85572,-16138.85586,0.0000477
43,3,-16138.8779,-16138.87801,0.00003729
44,3,-16138.884,-16138.88395,-0.00001861
45,3,-16138.8494,-16138.84935,-0.0000179
46,3,-16138.57347,-16138.57347,0.00000071
47,3,-16138.58487,-16138.58484,-0.00000754
48,3,-16138.58104,-16138.58102,-0.00000482
49,3,-16138.5758,-16138.57584,0.00001081
50,3,-16138.8735,-16138.87348,-0.00000655
51,3,-16138.88327,-16138.88322,-0.00001682
52,3,-16138.58399,-16138.58396,-0.00000759
53,3,-16138.58748,-16138.58747,-0.00000061
54,3,-16138.884,-16138.88394,-0.0000194
55,3,-16138.85993,-16138.86008,0.00005152
56,3,-16138.5859,-16138.5859,0.00000259
57,3,-16138.85695,-16138.85695,0.0000003
58,3,-16138.88199,-16138.88188,-0.0000376
59,3,-16138.58152,-16138.58154,0.00000701
60,3,-16138.86668,-16138.8666,-0.00002699
61,3,-16138.88169,-16138.88161,-0.00002929
62,3,-16138.88359,-16138.88365,0.00002177
63,3,-16138.87734,-16138.87743,0.00003101
64,3,-16138.58291,-16138.58288,-0.00001124
65,3,-16138.86583,-16138.86575,-0.00002949
66,3,-16138.5835,-16138.58348,-0.0000082
67,3,-16138.884,-16138.88395,-0.0000186
68,3,-16138.5862,-16138.58618,-0.00000684
69,3,-16138.85616,-16138.85636,0.00006767
70,3,-16138.88398,-16138.884,0.00000832
71,3,-16138.884,-16138.88395,-0.00001856
72,3,-16138.87353,-16138.87335,-0.00006085
73,3,-16138.58012,-16138.58007,-0.00001918
74,3,-16138.58172,-16138.58172,0.00000143
75,3,-16138.58778,-16138.58779,0.00000154
76,3,-16138.58534,-16138.58533,-0.00000253
77,3,-16138.58866,-16138.58865,-0.00000297
78,3,-16138.57661,-16138.57661,-0.00000093
79,3,-16138.88034,-16138.88027,-0.00002347
80,3,-16138.58543,-16138.58546,0.00001129
81,3,-16138.88195,-16138.88189,-0.00002171
82,3,-16138.84593,-16138.84593,0.00000032
83,3,-16138.87509,-16138.87509,0.00000019
84,3,-16138.88392,-16138.88394,0.00000589
85,3,-16138.87927,-16138.87932,0.00001509
86,3,-16138.8758,-16138.87578,-0.00000641
87,3,-16138.57847,-16138.57853,0.00001885
88,3,-16138.58852,-16138.58852,-0.00000116
89,3,-16138.87108,-16138.87105,-0.0000095
90,3,-16138.58485,-16138.58486,0.00000451
91,3,-16138.88288,-16138.88302,0.00004675
92,3,-16138.84452,-16138.84473,0.00006824
93,3,-16138.85681,-16138.85703,0.00007244
94,3,-16138.58553,-16138.58556,0.00000729
95,3,-16138.86158,-16138.86162,0.00001214
96,3,-16138.88401,-16138.88395,-0.00001867
97,3,-16138.57654,-16138.57652,-0.00000822
98,3,-16138.85945,-16138.85953,0.00002851
99,3,-16138.88293,-16138.88295,0.00000827
100,3,-16138.87638,-16138.87623,-0.00004914
101,3,-16138.58537,-16138.58537,-0.00000179
102,3,-16138.58903,-16138.58903,-0.00000211
103,3,-16138.57983,-16138.57979,-0.0000144
104,3,-16138.58592,-16138.58591,-0.00000423
105,3,-16138.87624,-16138.87629,0.00001765
106,3,-16138.585,-16138.585,-0.00000165
107,3,-16138.87947,-16138.87955,0.00002608
108,3,-16138.5884,-16138.5884,-0.00000021
109,3,-16138.85172,-16138.85188,0.00005222
110,3,-16138.58847,-16138.58846,-0.00000417
111,3,-16138.58433,-16138.58433,0.00000111
112,3,-16138.88138,-16138.88127,-0.00003757
113,3,-16138.58647,-16138.58649,0.00000622
114,3,-16138.88313,-16138.88308,-0.00001931
115,3,-16138.5841,-16138.5841,-0.00000135
116,3,-16138.58593,-16138.58592,-0.00000408
117,3,-16138.85754,-16138.85756,0.00000706
118,3,-16138.57628,-16138.57631,0.00000987
119,3,-16138.87315,-16138.87296,-0.0000638
120,3,-16138.58342,-16138.58342,-0.00000247
121,3,-16138.88401,-16138.88395,-0.00001866
122,3,-16138.58724,-16138.58723,-0.00000256
123,3,-16138.85223,-16138.85214,-0.00002959
124,3,-16138.85286,-16138.85278,-0.00002753
125,3,-16138.57431,-16138.57434,0.00000727
126,3,-16138.86954,-16138.86945,-0.00002905
127,3,-16138.5864,-16138.58637,-0.00000804
128,3,-16138.5855,-16138.58552,0.0000075
129,3,-16138.57703,-16138.57703,0.00000045
130,3,-16138.58728,-16138.58729,0.00000315
131,3,-16138.88084,-16138.88076,-0.00002496
132,3,-16138.8733,-16138.87334,0.00001448
133,3,-16138.58438,-16138.58438,0.00000074
134,3,-16138.86919,-16138.86916,-0.00001162
135,3,-16138.87558,-16138.87559,0.00000489
136,3,-16138.5851,-16138.58511,0.00000556
137,3,-16138.88081,-16138.8808,-0.0000036
138,3,-16138.58648,-16138.58648,0.00000133
139,3,-16138.8836,-16138.88364,0.00001342
140,3,-16138.5824,-16138.58235,-0.00001532
141,3,-16138.86958,-16138.86936,-0.00007221
142,3,-16138.58255,-16138.5826,0.00001484
143,3,-16138.5887,-16138.58869,-0.00000262
144,3,-16138.5882,-16138.58819,-0.00000099
145,3,-16138.87125,-16138.87115,-0.00003456
146,3,-16138.86616,-16138.86613,-0.00000941
147,3,-16138.87655,-16138.87653,-0.00000781
148,3,-16138.58053,-16138.5805,-0.00001026
149,3,-16138.88401,-16138.88395,-0.00001867
150,3,-16138.88175,-16138.88168,-0.00002041
151,3,-16138.58838,-16138.58836,-0.00000463
152,3,-16138.83703,-16138.83713,0.00003206
153,3,-16138.8778,-16138.87777,-0.00000974
154,3,-16138.58634,-16138.58636,0.00000431
155,3,-16138.57732,-16138.57731,-0.00000411
156,3,-16138.85066,-16138.85063,-0.00000792
157,3,-16138.87842,-16138.87833,-0.00002788
158,3,-16138.58381,-16138.58379,-0.00000443
159,3,-16138.8761,-16138.8761,0.00000048
160,3,-16138.88401,-16138.88395,-0.00001849
161,3,-16138.56442,-16138.56443,0.00000269
162,3,-16138.86695,-16138.86704,0.00002776
163,3,-16138.58512,-16138.58513,0.0000029
164,3,-16138.58464,-16138.58461,-0.0000076
165,3,-16138.58639,-16138.58639,0.00000109
166,3,-16138.88311,-16138.88319,0.00002744
167,3,-16138.88401,-16138.88395,-0.00001862
168,3,-16138.88101,-16138.88091,-0.00003332
169,3,-16138.57949,-16138.57944,-0.00001484
170,3,-16138.86088,-16138.86101,0.00004471
171,3,-16138.8834,-16138.8835,0.00003263
172,3,-16138.58611,-16138.58614,0.00000929
173,3,-16138.88315,-16138.8832,0.00001663
174,3,-16138.86145,-16138.86155,0.00003411
175,3,-16138.57784,-16138.5778,-0.00001208
176,3,-16138.83709,-16138.83718,0.00002912
177,3,-16138.88308,-16138.88321,0.00004345
178,3,-16138.88005,-16138.88007,0.00000444
179,3,-16138.58768,-16138.5877,0.00000779
180,3,-16138.58371,-16138.58371,0.00000027
181,3,-16138.58225,-16138.58227,0.00000781
182,3,-16138.5856,-16138.58557,-0.00000962
183,3,-16138.86236,-16138.86236,0.00000057
184,3,-16138.5852,-16138.58521,0.00000433
185,3,-16138.88319,-16138.8833,0.00003629
186,3,-16138.58162,-16138.58162,0.00000236
187,3,-16138.58585,-16138.58587,0.00000843
188,3,-16138.84115,-16138.84109,-0.00002209
189,3,-16138.57975,-16138.57974,-0.00000307
190,3,-16138.58265,-16138.58264,-0.0000022
191,3,-16138.58301,-16138.58301,-0.00000031
192,3,-16138.86886,-16138.86875,-0.00003531
193,3,-16138.88401,-16138.88395,-0.00001868
194,3,-16138.87587,-16138.87588,0.0000023
195,3,-16138.87211,-16138.87202,-0.00003002
196,3,-16138.58826,-16138.58826,-0.00000094
197,3,-16138.85948,-16138.85956,0.00002638
198,3,-16138.88006,-16138.88012,0.0000206
199,3,-16138.58558,-16138.58558,-0.0000002
200,3,-16138.57836,-16138.57837,0.0000021
201,3,-16138.88214,-16138.88203,-0.00003576
202,3,-16138.84092,-16138.8408,-0.00003958
203,3,-16138.58711,-16138.58711,-0.00000043
204,3,-16138.88274,-16138.88284,0.00003197
205,3,-16138.86715,-16138.86711,-0.00001356
206,3,-16138.57438,-16138.57444,0.00001856
207,3,-16138.88073,-16138.88072,-0.00000521
208,3,-16138.86005,-16138.86022,0.00005544
209,3,-16138.87406,-16138.87389,-0.00005822
210,3,-16138.88368,-16138.88375,0.00002441
211,3,-16138.58501,-16138.58498,-0.00001155
212,3,-16138.58687,-16138.58687,-0.00000211
213,3,-16138.5869,-16138.5869,0.00000304
214,3,-16138.87458,-16138.87442,-0.00005382
