     Conf.     atoms         Ref. total energy(Ha)           NN total energy(Ha)     E(Ref.) - E(NN) (Ha/atom)
         1         3               -16138.88218513               -16138.88206142                   -0.00004124
         2         3               -16138.85823569               -16138.85841647                    0.00006026
         3         3               -16138.58678554               -16138.58678685                    0.00000043
         4         3               -16138.88400483               -16138.88394864                   -0.00001873
         5         3               -16138.87111087               -16138.87100699                   -0.00003463
         6         3               -16138.58688993               -16138.58688616                   -0.00000126
         7         3               -16138.84216430               -16138.84206958                   -0.00003157
         8         3               -16138.86625694               -16138.86626058                    0.00000121
         9         3               -16138.87738203               -16138.87733441                   -0.00001587
        10         3               -16138.58553608               -16138.58553260                   -0.00000116
        11         3               -16138.86449382               -16138.86444778                   -0.00001535
        12         3               -16138.57391606               -16138.57386326                   -0.00001760
        13         3               -16138.58843145               -16138.58841704                   -0.00000480
        14         3               -16138.87983439               -16138.87987249                    0.00001270
        15         3               -16138.58670112               -16138.58670998                    0.00000295
        16         3               -16138.87783696               -16138.87795952                    0.00004085
        17         3               -16138.88005451               -16138.87999971                   -0.00001827
        18         3               -16138.88405118               -16138.88403498                   -0.00000540
        19         3               -16138.58333855               -16138.58333535                   -0.00000107
        20         3               -16138.88409182               -16138.88404368                   -0.00001605
        21         3               -16138.58647453               -16138.58648341                    0.00000296
        22         3               -16138.88043173               -16138.88039932                   -0.00001080
        23         3               -16138.58220817               -16138.58217070                   -0.00001249
        24         3               -16138.84107188               -16138.84100022                   -0.00002389
        25         3               -16138.58902377               -16138.58901813                   -0.00000188
        26         3               -16138.86040645               -16138.86053370                    0.00004242
        27         3               -16138.58531833               -16138.58533281                    0.00000483
        28         3               -16138.86530837               -16138.86521830                   -0.00003002
        29         3               -16138.85999082               -16138.86007102                    0.00002673
        30         3               -16138.58680272               -16138.58683064                    0.00000931
        31         3               -16138.83766634               -16138.83768731                    0.00000699
        32         3               -16138.86330058               -16138.86323960                   -0.00002033
        33         3               -16138.58149739               -16138.58150194                    0.00000152
        34         3               -16138.58499805               -16138.58500184                    0.00000126
        35         3               -16138.87765758               -16138.87752548                   -0.00004404
        36         3               -16138.58592508               -16138.58593883                    0.00000458
        37         3               -16138.58730796               -16138.58731088                    0.00000097
        38         3               -16138.88150653               -16138.88152817                    0.00000721
        39         3               -16138.58787854               -16138.58787112                   -0.00000247
        40         3               -16138.58437397               -16138.58436523                   -0.00000291
        41         3               -16138.88400509               -16138.88394916                   -0.00001864
        42         3               -16138.85571836               -16138.85586146                    0.00004770
        43         3               -16138.87789788               -16138.87800975                    0.00003729
        44         3               -16138.88400394               -16138.88394810                   -0.00001861
        45         3               -16138.84939874               -16138.84934503                   -0.00001790
        46         3               -16138.57346885               -16138.57347099                    0.00000071
        47         3               -16138.58486585               -16138.58484323                   -0.00000754
        48         3               -16138.58103812               -16138.58102365                   -0.00000482
        49         3               -16138.57580456               -16138.57583698                    0.00001081
        50         3               -16138.87350137               -16138.87348173                   -0.00000655
        51         3               -16138.88327243               -16138.88322198                   -0.00001682
        52         3               -16138.58398657               -16138.58396379                   -0.00000759
        53         3               -16138.58747655               -16138.58747473                   -0.00000061
        54         3               -16138.88399941               -16138.88394122                   -0.00001940
        55         3               -16138.85992712               -16138.86008169                    0.00005152
        56         3               -16138.58589547               -16138.58590324                    0.00000259
        57         3               -16138.85695364               -16138.85695455                    0.00000030
        58         3               -16138.88199285               -16138.88188003                   -0.00003760
        59         3               -16138.58151695               -16138.58153798                    0.00000701
        60         3               -16138.86667970               -16138.86659874                   -0.00002699
        61         3               -16138.88169438               -16138.88160652                   -0.00002929
        62         3               -16138.88358935               -16138.88365468                    0.00002177
        63         3               -16138.87733733               -16138.87743037                    0.00003101
        64         3               -16138.58291190               -16138.58287818                   -0.00001124
        65         3               -16138.86583424               -16138.86574577                   -0.00002949
        66         3               -16138.58350227               -16138.58347766                   -0.00000820
        67         3               -16138.88400370               -16138.88394791                   -0.00001860
        68         3               -16138.58619983               -16138.58617930                   -0.00000684
        69         3               -16138.85616190               -16138.85636492                    0.00006767
        70         3               -16138.88397654               -16138.88400151                    0.00000832
        71         3               -16138.88400371               -16138.88394802                   -0.00001856
        72         3               -16138.87352872               -16138.87334617                   -0.00006085
        73         3               -16138.58012270               -16138.58006515                   -0.00001918
        74         3               -16138.58172012               -16138.58172442                    0.00000143
        75         3               -16138.58778099               -16138.58778561                    0.00000154
        76         3               -16138.58533612               -16138.58532852                   -0.00000253
        77         3               -16138.58865790               -16138.58864898                   -0.00000297
        78         3               -16138.57661431               -16138.57661151                   -0.00000093
        79         3               -16138.88033978               -16138.88026937                   -0.00002347
        80         3               -16138.58542805               -16138.58546190                    0.00001129
        81         3               -16138.88195460               -16138.88188947                   -0.00002171
        82         3               -16138.84592694               -16138.84592789                    0.00000032
        83         3               -16138.87508590               -16138.87508646                    0.00000019
        84         3               -16138.88391821               -16138.88393588                    0.00000589
        85         3               -16138.87927020               -16138.87931548                    0.00001509
        86         3               -16138.87579626               -16138.87577704                   -0.00000641
        87         3               -16138.57847352               -16138.57853006                    0.00001885
        88         3               -16138.58852036               -16138.58851689                   -0.00000116
        89         3               -16138.87107976               -16138.87105128                   -0.00000950
