     Conf.      atom   element    Ref. charge(e)      NN charge(e)
         1         1        47       -0.40444585       -0.41417886
         1         2        47       -0.40377147       -0.41343695
         1         3        47       -0.19178267       -0.17238420
         2         1        47        0.33867261        0.33818498
         2         2        47        0.34064156        0.34035857
         2         3        47        0.32068584        0.32145644
         3         1        47       -0.40339981       -0.38934422
         3         2        47       -0.41247318       -0.40010817
         3         3        47       -0.18412700       -0.21054761
         4         1        47        0.34454586        0.34403729
         4         2        47        0.33850214        0.33746769
         4         3        47        0.31695200        0.31849502
         5         1        47       -0.40794258       -0.41659841
         5         2        47       -0.40191414       -0.41149482
         5         3        47       -0.19014329       -0.17190677
         6         1        47       -0.41323773       -0.42453883
         6         2        47       -0.39634568       -0.41044864
         6         3        47       -0.19041658       -0.16501253
         7         1        47        0.29227766        0.29453993
         7         2        47        0.35251910        0.35173833
         7         3        47        0.35520325        0.35372175
         8         1        47        0.31963081        0.31000045
         8         2        47        0.30436639        0.31214036
         8         3        47        0.37600281        0.37785920
         9         1        47        0.30935905        0.31247195
         9         2        47        0.35846029        0.35631121
         9         3        47        0.33218065        0.33121684
        10         1        47       -0.40915335       -0.40737716
        10         2        47       -0.40282134       -0.40218741
        10         3        47       -0.18802532       -0.19043543
        11         1        47       -0.42431495       -0.42394094
        11         2        47       -0.41777307       -0.41772964
        11         3        47       -0.15791199       -0.15832941
        12         1        47        0.33480365        0.33478731
        12         2        47        0.33452634        0.33449314
        12         3        47        0.33067001        0.33071955
        13         1        47        0.32002114        0.31871633
        13         2        47        0.31320327        0.31261498
        13         3        47        0.36677559        0.36866869
        14         1        47       -0.40829847       -0.41267760
        14         2        47       -0.43583953       -0.42951632
        14         3        47       -0.15586201       -0.15780609
        15         1        47        0.33693161        0.33643891
        15         2        47        0.34226119        0.34245960
        15         3        47        0.32080721        0.32110149
        16         1        47       -0.40402587       -0.41176704
        16         2        47       -0.40373826       -0.41140112
        16         3        47       -0.19223588       -0.17683183
        17         1        47       -0.45179018       -0.42904475
        17         2        47       -0.40542656       -0.40909668
        17         3        47       -0.14278326       -0.16185857
        18         1        47       -0.41879966       -0.41780762
        18         2        47       -0.40634482       -0.40069748
        18         3        47       -0.17485553       -0.18149490
        19         1        47        0.32005683        0.31728274
        19         2        47        0.35594188        0.36097591
        19         3        47        0.32400130        0.32174135
        20         1        47       -0.40902716       -0.41611185
        20         2        47       -0.40120437       -0.40967517
        20         3        47       -0.18976848       -0.17421298
        21         1        47       -0.40448013       -0.41238461
        21         2        47       -0.40328437       -0.41080689
        21         3        47       -0.19223551       -0.17680850
        22         1        47       -0.42948088       -0.42891302
        22         2        47       -0.40928512       -0.41352247
        22         3        47       -0.16123400       -0.15756452
        23         1        47        0.31240082        0.31354781
        23         2        47        0.37223391        0.37178658
        23         3        47        0.31536527        0.31466561
        24         1        47       -0.40588837       -0.39615406
        24         2        47       -0.40640625       -0.39706356
        24         3        47       -0.18770537       -0.20678238
        25         1        47        0.32690257        0.32443010
        25         2        47        0.33302062        0.33243361
        25         3        47        0.34007682        0.34313629
        26         1        47        0.31300579        0.31642362
        26         2        47        0.35887018        0.35587553
        26         3        47        0.32812404        0.32770085
        27         1        47       -0.40402567       -0.41176153
